sample	gene	chrom	start	end	compartment	nearest_te_bp	nearest_te_family
Cx_quinquefasciatus	gene-LOC6032055	NC_051861.1	1446498	1449894	core	7	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032056	NC_051861.1	1449923	1451877	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032057	NC_051861.1	1453183	1454593	core	140	Unknown
Cx_quinquefasciatus	gene-LOC6032059	NC_051861.1	1454650	1460181	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032060	NC_051861.1	1460105	1463545	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032061	NC_051861.1	1464422	1465225	core	247	Unknown
Cx_quinquefasciatus	gene-LOC6032062	NC_051861.1	1465304	1468980	shell	0	Low_complexity
Cx_quinquefasciatus	gene-LOC6032063	NC_051861.1	1474557	1479209	shell	0	Unknown
Cx_quinquefasciatus	gene-LOC6032064	NC_051861.1	1479381	1485626	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032065	NC_051861.1	1489153	1490545	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032066	NC_051861.1	1490536	1490933	core	807	Unknown
Cx_quinquefasciatus	gene-LOC6032067	NC_051861.1	1491047	1502931	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032068	NC_051861.1	1503388	1506576	core	0	Low_complexity
Cx_quinquefasciatus	gene-LOC6032069	NC_051861.1	1506737	1509195	shell	0	Unknown
Cx_quinquefasciatus	gene-LOC6032070	NC_051861.1	1509402	1513093	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032071	NC_051861.1	1516536	1518449	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032072	NC_051861.1	1524299	1564165	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032073	NC_051861.1	1564505	1565164	core	263	Simple_repeat
Cx_quinquefasciatus	gene-LOC119768757	NC_051861.1	1565205	1566760	core	651	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032074	NC_051861.1	1566891	1605127	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032078	NC_051861.1	1608461	1656371	core	0	Low_complexity
Cx_quinquefasciatus	gene-LOC6032075	NC_051861.1	1621829	1627228	core	0	Unknown
Cx_quinquefasciatus	gene-LOC119765284	NC_051861.1	1646047	1649162	core	0	Low_complexity
Cx_quinquefasciatus	gene-LOC6032080	NC_051861.1	1656481	1707828	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032081	NC_051861.1	1717288	1717842	core	95	Unknown
Cx_quinquefasciatus	gene-LOC119765670	NC_051861.1	1723234	1727816	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC119765672	NC_051861.1	1724684	1725696	core	1063	Unknown
Cx_quinquefasciatus	gene-LOC119765673	NC_051861.1	1725780	1726689	core	70	Unknown
Cx_quinquefasciatus	gene-LOC6032082	NC_051861.1	1727950	1730726	core	521	Unknown
Cx_quinquefasciatus	gene-LOC6032083	NC_051861.1	1730685	1735933	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032084	NC_051861.1	1732386	1743003	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032085	NC_051861.1	1743087	1745474	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032086	NC_051861.1	1745267	1746356	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032087	NC_051861.1	1748409	1752484	cloud	0	Unknown
Cx_quinquefasciatus	gene-LOC6032089	NC_051861.1	1758786	1797473	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032091	NC_051861.1	1798353	1802164	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032092	NC_051861.1	1803652	1805163	core	348	Unknown
Cx_quinquefasciatus	gene-LOC6032095	NC_051861.1	1804209	1952718	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032093	NC_051861.1	1805513	1808350	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032099	NC_051861.1	1953820	1954742	shell	157	LTR/Unknown
Cx_quinquefasciatus	gene-LOC119771190	NC_051861.1	1955378	1957372	shell	0	LTR/Pao
Cx_quinquefasciatus	gene-LOC6032100	NC_051861.1	1959488	1978667	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC119765053	NC_051861.1	1998712	2003574	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6035169	NC_051861.1	2012710	2263924	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC119767907	NC_051861.1	2027810	2028887	shell	0	Low_complexity
Cx_quinquefasciatus	gene-LOC119767910	NC_051861.1	2031161	2031776	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6035171	NC_051861.1	2068515	2069652	shell	299	Unknown
Cx_quinquefasciatus	gene-LOC119767898	NC_051861.1	2084090	2085242	core	137	Unknown
Cx_quinquefasciatus	gene-LOC6035172	NC_051861.1	2085867	2086900	core	7	Unknown
Cx_quinquefasciatus	gene-LOC6035175	NC_051861.1	2279591	2286291	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6035176	NC_051861.1	2318125	2319978	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6035178	NC_051861.1	2411318	2413965	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6035179	NC_051861.1	2414069	2415636	core	1961	Simple_repeat
Cx_quinquefasciatus	gene-LOC6035180	NC_051861.1	2455980	2458081	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6035181	NC_051861.1	2554786	2567942	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6035183	NC_051861.1	2568004	2568964	core	362	Unknown
Cx_quinquefasciatus	gene-LOC6035184	NC_051861.1	2580712	2618421	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6035185	NC_051861.1	2620906	2638713	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6035186	NC_051861.1	2639068	2643577	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6035187	NC_051861.1	2643603	2645143	core	295	Unknown
Cx_quinquefasciatus	gene-LOC6035188	NC_051861.1	2645072	2655821	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6035189	NC_051861.1	2655816	2661430	core	0	Low_complexity
Cx_quinquefasciatus	gene-LOC6035190	NC_051861.1	2661557	2671482	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6035191	NC_051861.1	2679163	2680704	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6035192	NC_051861.1	2685698	2687377	core	79	LTR/Gypsy
Cx_quinquefasciatus	gene-LOC6035193	NC_051861.1	2687403	2689868	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6035194	NC_051861.1	2692445	2784927	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6035197	NC_051861.1	2797650	2826632	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6035199	NC_051861.1	2829511	2839496	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6052808	NC_051861.1	2847049	2848530	core	0	LTR/Gypsy
Cx_quinquefasciatus	gene-LOC119768581	NC_051861.1	2848458	2852161	core	0	LTR/Gypsy
Cx_quinquefasciatus	gene-LOC6035201	NC_051861.1	2853734	2855925	core	121	Unknown
Cx_quinquefasciatus	gene-LOC6035202	NC_051861.1	2856869	2858697	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6035203	NC_051861.1	2859680	2861520	core	240	Unknown
Cx_quinquefasciatus	gene-LOC119771244	NC_051861.1	2861534	2870977	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6035204	NC_051861.1	2871044	2872314	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6035205	NC_051861.1	2874634	2875839	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6035206	NC_051861.1	2875968	2878422	core	224	Simple_repeat
Cx_quinquefasciatus	gene-LOC6035208	NC_051861.1	2882194	2889546	core	0	Low_complexity
Cx_quinquefasciatus	gene-LOC6035209	NC_051861.1	2889961	2890787	core	633	Simple_repeat
Cx_quinquefasciatus	gene-LOC6035210	NC_051861.1	2890700	2891585	core	96	Unknown
Cx_quinquefasciatus	gene-LOC6035211	NC_051861.1	2892846	2901056	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6035212	NC_051861.1	2929170	2934851	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6035214	NC_051861.1	2937587	2962357	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6035215	NC_051861.1	2972650	3027299	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6035216	NC_051861.1	3028860	3032560	shell	0	Unknown
Cx_quinquefasciatus	gene-LOC6035217	NC_051861.1	3039393	3041415	core	0	LTR/Unknown
Cx_quinquefasciatus	gene-LOC6035218	NC_051861.1	3041619	3044868	core	0	Unknown
Cx_quinquefasciatus	gene-LOC119765314	NC_051861.1	3045762	3048894	core	0	Unknown
Cx_quinquefasciatus	gene-LOC119765310	NC_051861.1	3057124	3064173	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6035221	NC_051861.1	3064672	3066698	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6035223	NC_051861.1	3068564	3071108	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6035226	NC_051861.1	3075063	3076264	core	124	Unknown
Cx_quinquefasciatus	gene-LOC6035227	NC_051861.1	3076217	3080177	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6035229	NC_051861.1	3078001	3079058	core	339	Unknown
Cx_quinquefasciatus	gene-LOC6035228	NC_051861.1	3080391	3081683	core	158	Unknown
Cx_quinquefasciatus	gene-LOC6035230	NC_051861.1	3086832	3273643	shell	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6035231	NC_051861.1	3161146	3163183	core	531	Unknown
Cx_quinquefasciatus	gene-LOC6032711	NC_051861.1	3274894	3275859	core	52	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032710	NC_051861.1	3282318	3283278	core	241	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032709	NC_051861.1	3283577	3299591	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032708	NC_051861.1	3301372	3303359	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032707	NC_051861.1	3307646	3309087	core	115	LTR/Unknown
Cx_quinquefasciatus	gene-LOC6032706	NC_051861.1	3309076	3310784	core	122	Unknown
Cx_quinquefasciatus	gene-LOC6032701	NC_051861.1	3315374	3318336	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032700	NC_051861.1	3320328	3322048	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032697	NC_051861.1	3323103	3325395	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032694	NC_051861.1	3347223	3356230	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032693	NC_051861.1	3356563	3401347	core	0	Unknown
Cx_quinquefasciatus	gene-LOC119765099	NC_051861.1	3405756	3408146	shell	136	Unknown
Cx_quinquefasciatus	gene-LOC6032691	NC_051861.1	3411714	3491509	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032690	NC_051861.1	3443071	3453591	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032689	NC_051861.1	3459548	3461232	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032688	NC_051861.1	3461428	3488404	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC119765603	NC_051861.1	3490455	3491279	core	108	Unknown
Cx_quinquefasciatus	gene-LOC6032687	NC_051861.1	3493505	3494651	core	156	LINE/L2
Cx_quinquefasciatus	gene-LOC6032686	NC_051861.1	3494553	3495265	core	135	Unknown
Cx_quinquefasciatus	gene-LOC6032685	NC_051861.1	3504344	3511046	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032684	NC_051861.1	3527130	3617020	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6037271	NC_051861.1	3652655	3653338	core	63	Unknown
Cx_quinquefasciatus	gene-LOC6032682	NC_051861.1	3671617	3723471	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032681	NC_051861.1	3730832	3732947	core	0	Low_complexity
Cx_quinquefasciatus	gene-LOC6032680	NC_051861.1	3738661	3742785	core	0	LTR/Copia
Cx_quinquefasciatus	gene-LOC6032679	NC_051861.1	3742920	3744829	core	683	Unknown
Cx_quinquefasciatus	gene-LOC6032673	NC_051861.1	3744862	3752175	shell	0	Unknown
Cx_quinquefasciatus	gene-LOC6032672	NC_051861.1	3757716	3761087	shell	8	Unknown
Cx_quinquefasciatus	gene-LOC6032671	NC_051861.1	3768296	3806791	core	0	Low_complexity
Cx_quinquefasciatus	gene-LOC6032669	NC_051861.1	3807056	3808861	core	259	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032668	NC_051861.1	3814050	3818406	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032667	NC_051861.1	3822131	3885934	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032665	NC_051861.1	3852588	3853514	core	688	Unknown
Cx_quinquefasciatus	gene-LOC119765098	NC_051861.1	3859657	3888887	core	0	Unknown
Cx_quinquefasciatus	gene-LOC119765076	NC_051861.1	3896185	3897055	core	53	Unknown
Cx_quinquefasciatus	gene-LOC6032661	NC_051861.1	3900388	3901150	core	66	Unknown
Cx_quinquefasciatus	gene-LOC6032660	NC_051861.1	3906867	3990851	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032659	NC_051861.1	3925033	3926430	core	1851	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032658	NC_051861.1	3927890	4005531	core	0	Unknown
Cx_quinquefasciatus	gene-LOC119765253	NC_051861.1	4005530	4007805	shell	0	Unknown
Cx_quinquefasciatus	gene-LOC6032657	NC_051861.1	4020317	4094353	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032653	NC_051861.1	4098534	4100661	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032652	NC_051861.1	4100483	4101546	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032651	NC_051861.1	4105265	4108054	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032650	NC_051861.1	4110162	4141304	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032649	NC_051861.1	4147693	4152245	core	0	Low_complexity
Cx_quinquefasciatus	gene-LOC6032648	NC_051861.1	4154334	4155188	core	140	Unknown
Cx_quinquefasciatus	gene-LOC6032647	NC_051861.1	4156915	4160792	core	140	Unknown
Cx_quinquefasciatus	gene-LOC6032646	NC_051861.1	4161950	4162580	core	461	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032645	NC_051861.1	4162936	4205392	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032633	NC_051861.1	4462664	4484946	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032630	NC_051861.1	4476426	4481450	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032629	NC_051861.1	4484459	4495465	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032628	NC_051861.1	4497385	4510444	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032627	NC_051861.1	4498175	4510560	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032626	NC_051861.1	4522138	4556539	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032625	NC_051861.1	4545266	4546337	core	94	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032580	NC_051861.1	4744950	4756686	core	0	Low_complexity
Cx_quinquefasciatus	gene-LOC6032579	NC_051861.1	4760684	4766579	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032578	NC_051861.1	4770331	4783445	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032577	NC_051861.1	4785144	4792134	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032576	NC_051861.1	4792182	4857630	shell	0	Unknown
Cx_quinquefasciatus	gene-LOC6032573	NC_051861.1	4811907	4813234	core	23	Unknown
Cx_quinquefasciatus	gene-LOC6032572	NC_051861.1	4815112	4857497	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6032570	NC_051861.1	4899456	4906244	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6032712	NC_051861.1	4908288	4947775	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6040944	NC_051861.1	4959132	4965590	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6040876	NC_051861.1	4970614	4981176	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6040873	NC_051861.1	4992083	4993776	core	13	Unknown
Cx_quinquefasciatus	gene-LOC6040874	NC_051861.1	4997123	5000027	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6040871	NC_051861.1	5000027	5002291	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC119765134	NC_051861.1	5003515	5004219	shell	0	Unknown
Cx_quinquefasciatus	gene-LOC6040872	NC_051861.1	5007984	5037465	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6040877	NC_051861.1	5041884	5046424	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6040880	NC_051861.1	5060760	5110604	core	0	Low_complexity
Cx_quinquefasciatus	gene-LOC119765451	NC_051861.1	5081123	5081860	shell	90	Unknown
Cx_quinquefasciatus	gene-LOC6040881	NC_051861.1	5119332	5135010	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC119767750	NC_051861.1	5126107	5133511	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6040882	NC_051861.1	5161418	5162530	core	216	Unknown
Cx_quinquefasciatus	gene-LOC6040883	NC_051861.1	5162532	5169397	shell	0	DNA/Sola-2
Cx_quinquefasciatus	gene-LOC6040884	NC_051861.1	5171635	5173497	core	54	Unknown
Cx_quinquefasciatus	gene-LOC6040885	NC_051861.1	5173874	5180579	core	0	LTR/Copia
Cx_quinquefasciatus	gene-LOC6040887	NC_051861.1	5184588	5219609	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6040888	NC_051861.1	5224341	5246382	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6040889	NC_051861.1	5250290	5251359	core	237	LTR/Unknown
Cx_quinquefasciatus	gene-LOC6040891	NC_051861.1	5254643	5260792	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6040893	NC_051861.1	5268451	5269605	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6040894	NC_051861.1	5272000	5278012	cloud	0	Unknown
Cx_quinquefasciatus	gene-LOC6040895	NC_051861.1	5284198	5295623	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6040898	NC_051861.1	5295679	5297336	core	81	Simple_repeat
Cx_quinquefasciatus	gene-LOC119765148	NC_051861.1	5297478	5297858	core	17	Simple_repeat
Cx_quinquefasciatus	gene-LOC6040899	NC_051861.1	5298012	5304629	shell	0	Low_complexity
Cx_quinquefasciatus	gene-LOC6040900	NC_051861.1	5315515	5429525	shell	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6040904	NC_051861.1	5407189	5408253	shell	1150	LTR/Gypsy
Cx_quinquefasciatus	gene-LOC6040905	NC_051861.1	5439032	5440447	shell	0	LINE/I-Jockey
Cx_quinquefasciatus	gene-LOC6040906	NC_051861.1	5440498	5450186	shell	0	Unknown
Cx_quinquefasciatus	gene-LOC6040907	NC_051861.1	5450387	5452658	shell	0	Unknown
Cx_quinquefasciatus	gene-LOC6040909	NC_051861.1	5456546	5467352	shell	0	LTR/Pao
Cx_quinquefasciatus	gene-LOC6040910	NC_051861.1	5467851	5471724	shell	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6040911	NC_051861.1	5476458	5478963	shell	0	Unknown
Cx_quinquefasciatus	gene-LOC6040912	NC_051861.1	5479105	5480955	shell	0	Unknown
Cx_quinquefasciatus	gene-LOC6040913	NC_051861.1	5481003	5481738	shell	191	Unknown
Cx_quinquefasciatus	gene-LOC6040914	NC_051861.1	5481903	5484138	shell	185	Unknown
Cx_quinquefasciatus	gene-LOC6040915	NC_051861.1	5484774	5485991	shell	114	Unknown
Cx_quinquefasciatus	gene-LOC6040916	NC_051861.1	5488241	5492838	shell	105	LTR/Pao
Cx_quinquefasciatus	gene-LOC6040917	NC_051861.1	5503029	5504603	shell	113	Simple_repeat
Cx_quinquefasciatus	gene-LOC6040918	NC_051861.1	5513135	5515682	shell	46	Unknown
Cx_quinquefasciatus	gene-LOC6040919	NC_051861.1	5518703	5527642	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6040920	NC_051861.1	5532001	5533509	shell	181	Unknown
Cx_quinquefasciatus	gene-LOC6040921	NC_051861.1	5533507	5534578	shell	0	Unknown
Cx_quinquefasciatus	gene-LOC6040922	NC_051861.1	5534623	5535797	shell	86	Unknown
Cx_quinquefasciatus	gene-LOC6040923	NC_051861.1	5540577	5549383	shell	0	Unknown
Cx_quinquefasciatus	gene-LOC6040924	NC_051861.1	5550206	5551638	shell	300	Simple_repeat
Cx_quinquefasciatus	gene-LOC6040925	NC_051861.1	5551666	5596182	shell	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6040926	NC_051861.1	5557643	5566816	shell	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6040928	NC_051861.1	5568689	5583239	shell	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6040929	NC_051861.1	5583412	5585200	shell	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6040930	NC_051861.1	5587136	5595888	shell	0	Unknown
Cx_quinquefasciatus	gene-LOC6040931	NC_051861.1	5601598	5603138	shell	427	Simple_repeat
Cx_quinquefasciatus	gene-LOC6040934	NC_051861.1	5603671	5617117	shell	0	Unknown
Cx_quinquefasciatus	gene-LOC6040933	NC_051861.1	5609039	5612050	shell	231	Simple_repeat
Cx_quinquefasciatus	gene-LOC6040935	NC_051861.1	5617132	5617677	shell	716	Simple_repeat
Cx_quinquefasciatus	gene-LOC6040936	NC_051861.1	5618642	5620321	shell	2226	Simple_repeat
Cx_quinquefasciatus	gene-LOC6040937	NC_051861.1	5620330	5624173	shell	0	LTR/Unknown
Cx_quinquefasciatus	gene-LOC6040938	NC_051861.1	5626702	5634153	shell	0	Unknown
Cx_quinquefasciatus	gene-LOC119771150	NC_051861.1	5633798	5634821	shell	321	Unknown
Cx_quinquefasciatus	gene-LOC6040939	NC_051861.1	5642444	5646580	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6040940	NC_051861.1	5647221	5664323	core	0	Low_complexity
Cx_quinquefasciatus	gene-LOC6040941	NC_051861.1	5664602	5665118	shell	61	Unknown
Cx_quinquefasciatus	gene-LOC6040942	NC_051861.1	5667060	5672025	shell	0	Unknown
Cx_quinquefasciatus	gene-LOC6040943	NC_051861.1	5671986	5682832	core	0	Unknown
Cx_quinquefasciatus	gene-LOC119765509	NC_051861.1	5696537	5711523	shell	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6052629	NC_051861.1	5729361	5753999	shell	0	Unknown
Cx_quinquefasciatus	gene-LOC6036811	NC_051861.1	5766053	5810761	shell	0	Unknown
Cx_quinquefasciatus	gene-LOC6036810	NC_051861.1	5814155	5816277	shell	230	Unknown
Cx_quinquefasciatus	gene-LOC119771202	NC_051861.1	5820575	5822351	shell	0	Unknown
Cx_quinquefasciatus	gene-LOC6036809	NC_051861.1	5823403	5824622	shell	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6036808	NC_051861.1	5838147	5838685	core	486	Low_complexity
Cx_quinquefasciatus	gene-LOC6036807	NC_051861.1	5862880	5863816	core	159	Unknown
Cx_quinquefasciatus	gene-LOC6036806	NC_051861.1	5885263	5909518	shell	0	Unknown
Cx_quinquefasciatus	gene-LOC6036804	NC_051861.1	5914766	5917381	shell	6	Simple_repeat
Cx_quinquefasciatus	gene-LOC6036800	NC_051861.1	5923629	6101215	shell	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC119766386	NC_051861.1	5965352	5971737	core	0	LINE/CR1
Cx_quinquefasciatus	gene-LOC6036799	NC_051861.1	6109094	6109806	core	118	Unknown
Cx_quinquefasciatus	gene-LOC6036798	NC_051861.1	6112434	6133318	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6036796	NC_051861.1	6136805	6145746	core	0	Unknown
Cx_quinquefasciatus	gene-LOC6036795	NC_051861.1	6150281	6156080	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6036794	NC_051861.1	6156019	6167747	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6036793	NC_051861.1	6173318	6179424	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC6036786	NC_051861.1	6276018	6290518	core	0	Simple_repeat
Cx_quinquefasciatus	gene-LOC119768780	NC_051861.1	6285871	6289116	shell	29	Unknown
