section	item	sample	value	source
busco	protein fragmented_pct	Cx_pipiens	3.8	results/busco_proteins/Cx_pipiens/short_summary.specific.diptera_odb10.Cx_pipiens.json
busco	protein missing_pct	Cx_pipiens	14.6	results/busco_proteins/Cx_pipiens/short_summary.specific.diptera_odb10.Cx_pipiens.json
busco	protein busco_version	Cx_pipiens	6.1.0	results/busco_proteins/Cx_pipiens/short_summary.specific.diptera_odb10.Cx_pipiens.json
busco	protein lineage	Cx_pipiens	diptera_odb10	results/busco_proteins/Cx_pipiens/short_summary.specific.diptera_odb10.Cx_pipiens.json
busco	protein one_line_summary	Cx_tarsalis	C:40.0%[S:39.6%,D:0.4%],F:12.1%,M:47.9%,n:3285	results/busco_proteins/Cx_tarsalis/short_summary.specific.diptera_odb10.Cx_tarsalis.json
busco	protein complete_pct	Cx_tarsalis	40.0	results/busco_proteins/Cx_tarsalis/short_summary.specific.diptera_odb10.Cx_tarsalis.json
busco	protein single_pct	Cx_tarsalis	39.6	results/busco_proteins/Cx_tarsalis/short_summary.specific.diptera_odb10.Cx_tarsalis.json
busco	protein duplicated_pct	Cx_tarsalis	0.4	results/busco_proteins/Cx_tarsalis/short_summary.specific.diptera_odb10.Cx_tarsalis.json
busco	protein fragmented_pct	Cx_tarsalis	12.1	results/busco_proteins/Cx_tarsalis/short_summary.specific.diptera_odb10.Cx_tarsalis.json
busco	protein missing_pct	Cx_tarsalis	47.9	results/busco_proteins/Cx_tarsalis/short_summary.specific.diptera_odb10.Cx_tarsalis.json
busco	protein busco_version	Cx_tarsalis	6.1.0	results/busco_proteins/Cx_tarsalis/short_summary.specific.diptera_odb10.Cx_tarsalis.json
busco	protein lineage	Cx_tarsalis	diptera_odb10	results/busco_proteins/Cx_tarsalis/short_summary.specific.diptera_odb10.Cx_tarsalis.json
annotation	proteins_one_per_gene	Cx_quinquefasciatus	15094	results/proteins/Cx_quinquefasciatus.fa
annotation	proteins_one_per_gene	Cx_pallens	14106	results/proteins/Cx_pallens.fa
annotation	proteins_one_per_gene	Cx_molestus	14126	results/proteins/Cx_molestus.fa
annotation	proteins_one_per_gene	Cx_pipiens	14489	results/proteins/Cx_pipiens.fa
annotation	proteins_one_per_gene	Cx_tarsalis	11865	results/proteins/Cx_tarsalis.fa
annotation	n_kept_models	Cx_quinquefasciatus	15094	results/annotation/transfer_quality.tsv
annotation	liftoff_flags	Cx_quinquefasciatus	no (reference annotation)	results/annotation/transfer_quality.tsv
annotation	n_ref_model_not_clean	Cx_quinquefasciatus	872	results/annotation/transfer_quality.tsv
annotation	n_kept_models	Cx_pallens	14106	results/annotation/transfer_quality.tsv
annotation	liftoff_flags	Cx_pallens	yes	results/annotation/transfer_quality.tsv
annotation	n_invalid_orf	Cx_pallens	4241	results/annotation/transfer_quality.tsv
annotation	pct_invalid_orf	Cx_pallens	30.07	results/annotation/transfer_quality.tsv
annotation	pct_inframe_stop	Cx_pallens	2.03	results/annotation/transfer_quality.tsv
annotation	pct_missing_start	Cx_pallens	10.45	results/annotation/transfer_quality.tsv
annotation	pct_missing_stop	Cx_pallens	17.58	results/annotation/transfer_quality.tsv
annotation	pct_mismatch_ref_protein	Cx_pallens	87.38	results/annotation/transfer_quality.tsv
annotation	n_ref_model_not_clean	Cx_pallens	774	results/annotation/transfer_quality.tsv
annotation	pct_invalid_orf_clean_ref	Cx_pallens	26.74	results/annotation/transfer_quality.tsv
annotation	n_kept_models	Cx_molestus	14126	results/annotation/transfer_quality.tsv
annotation	liftoff_flags	Cx_molestus	yes	results/annotation/transfer_quality.tsv
annotation	n_invalid_orf	Cx_molestus	4842	results/annotation/transfer_quality.tsv
annotation	pct_invalid_orf	Cx_molestus	34.28	results/annotation/transfer_quality.tsv
annotation	pct_inframe_stop	Cx_molestus	2.14	results/annotation/transfer_quality.tsv
annotation	pct_missing_start	Cx_molestus	12.93	results/annotation/transfer_quality.tsv
annotation	pct_missing_stop	Cx_molestus	19.2	results/annotation/transfer_quality.tsv
annotation	pct_mismatch_ref_protein	Cx_molestus	90.23	results/annotation/transfer_quality.tsv
annotation	n_ref_model_not_clean	Cx_molestus	796	results/annotation/transfer_quality.tsv
annotation	pct_invalid_orf_clean_ref	Cx_molestus	31.07	results/annotation/transfer_quality.tsv
annotation	n_kept_models	Cx_pipiens	14489	results/annotation/transfer_quality.tsv
annotation	liftoff_flags	Cx_pipiens	yes	results/annotation/transfer_quality.tsv
annotation	n_invalid_orf	Cx_pipiens	4768	results/annotation/transfer_quality.tsv
annotation	pct_invalid_orf	Cx_pipiens	32.91	results/annotation/transfer_quality.tsv
annotation	pct_inframe_stop	Cx_pipiens	2.35	results/annotation/transfer_quality.tsv
annotation	pct_missing_start	Cx_pipiens	11.37	results/annotation/transfer_quality.tsv
annotation	pct_missing_stop	Cx_pipiens	19.17	results/annotation/transfer_quality.tsv
annotation	pct_mismatch_ref_protein	Cx_pipiens	91.32	results/annotation/transfer_quality.tsv
annotation	n_ref_model_not_clean	Cx_pipiens	820	results/annotation/transfer_quality.tsv
annotation	pct_invalid_orf_clean_ref	Cx_pipiens	29.57	results/annotation/transfer_quality.tsv
annotation	n_kept_models	Cx_tarsalis	11865	results/annotation/transfer_quality.tsv
annotation	liftoff_flags	Cx_tarsalis	yes	results/annotation/transfer_quality.tsv
annotation	n_invalid_orf	Cx_tarsalis	8958	results/annotation/transfer_quality.tsv
annotation	pct_invalid_orf	Cx_tarsalis	75.5	results/annotation/transfer_quality.tsv
annotation	pct_inframe_stop	Cx_tarsalis	1.88	results/annotation/transfer_quality.tsv
annotation	pct_missing_start	Cx_tarsalis	41.7	results/annotation/transfer_quality.tsv
annotation	pct_missing_stop	Cx_tarsalis	31.87	results/annotation/transfer_quality.tsv
annotation	pct_mismatch_ref_protein	Cx_tarsalis	99.22	results/annotation/transfer_quality.tsv
annotation	n_ref_model_not_clean	Cx_tarsalis	736	results/annotation/transfer_quality.tsv
annotation	pct_invalid_orf_clean_ref	Cx_tarsalis	74.2	results/annotation/transfer_quality.tsv
annotation	core pct_invalid_orf	Cx_pallens	23.84	results/annotation/transfer_quality_by_compartment.tsv
annotation	shell pct_invalid_orf	Cx_pallens	51.01	results/annotation/transfer_quality_by_compartment.tsv
annotation	cloud pct_invalid_orf	Cx_pallens	100.0	results/annotation/transfer_quality_by_compartment.tsv
annotation	unassigned pct_invalid_orf	Cx_pallens	99.13	results/annotation/transfer_quality_by_compartment.tsv
annotation	core pct_invalid_orf	Cx_molestus	27.26	results/annotation/transfer_quality_by_compartment.tsv
annotation	shell pct_invalid_orf	Cx_molestus	57.41	results/annotation/transfer_quality_by_compartment.tsv
annotation	cloud pct_invalid_orf	Cx_molestus	99.35	results/annotation/transfer_quality_by_compartment.tsv
annotation	unassigned pct_invalid_orf	Cx_molestus	98.01	results/annotation/transfer_quality_by_compartment.tsv
annotation	core pct_invalid_orf	Cx_pipiens	26.42	results/annotation/transfer_quality_by_compartment.tsv
annotation	shell pct_invalid_orf	Cx_pipiens	52.34	results/annotation/transfer_quality_by_compartment.tsv
annotation	cloud pct_invalid_orf	Cx_pipiens	93.42	results/annotation/transfer_quality_by_compartment.tsv
annotation	unassigned pct_invalid_orf	Cx_pipiens	98.08	results/annotation/transfer_quality_by_compartment.tsv
annotation	core pct_invalid_orf	Cx_tarsalis	66.48	results/annotation/transfer_quality_by_compartment.tsv
annotation	shell pct_invalid_orf	Cx_tarsalis	79.73	results/annotation/transfer_quality_by_compartment.tsv
annotation	cloud pct_invalid_orf	Cx_tarsalis	95.53	results/annotation/transfer_quality_by_compartment.tsv
annotation	outgroup_only pct_invalid_orf	Cx_tarsalis	96.47	results/annotation/transfer_quality_by_compartment.tsv
annotation	unassigned pct_invalid_orf	Cx_tarsalis	99.42	results/annotation/transfer_quality_by_compartment.tsv
pangenome	core n_orthogroups		10371	results/pangenome/pangenome_summary.tsv
pangenome	core genes_ingroup		47530	results/pangenome/pangenome_summary.tsv
pangenome	shell n_orthogroups		3000	results/pangenome/pangenome_summary.tsv
pangenome	shell genes_ingroup		8466	results/pangenome/pangenome_summary.tsv
pangenome	cloud n_orthogroups		476	results/pangenome/pangenome_summary.tsv
pangenome	cloud genes_ingroup		523	results/pangenome/pangenome_summary.tsv
pangenome	outgroup_only n_orthogroups		38	results/pangenome/pangenome_summary.tsv
pangenome	outgroup_only genes_ingroup		0	results/pangenome/pangenome_summary.tsv
pangenome	cloud_Cx_molestus_specific n_orthogroups		148	results/pangenome/pangenome_summary.tsv
pangenome	cloud_Cx_molestus_specific genes_ingroup		155	results/pangenome/pangenome_summary.tsv
pangenome	cloud_Cx_pallens_specific n_orthogroups		99	results/pangenome/pangenome_summary.tsv
pangenome	cloud_Cx_pallens_specific genes_ingroup		108	results/pangenome/pangenome_summary.tsv
pangenome	cloud_Cx_pipiens_specific n_orthogroups		141	results/pangenome/pangenome_summary.tsv
pangenome	cloud_Cx_pipiens_specific genes_ingroup		152	results/pangenome/pangenome_summary.tsv
pangenome	cloud_Cx_quinquefasciatus_specific n_orthogroups		88	results/pangenome/pangenome_summary.tsv
pangenome	cloud_Cx_quinquefasciatus_specific genes_ingroup		108	results/pangenome/pangenome_summary.tsv
cloud	n_cloud_orthogroups	Cx_quinquefasciatus	88	results/pangenome/cloud_composition_summary.tsv
cloud	with_outgroup_gene	Cx_quinquefasciatus	77	results/pangenome/cloud_composition_summary.tsv
cloud	single_ingroup_gene	Cx_quinquefasciatus	74	results/pangenome/cloud_composition_summary.tsv
cloud	same_gene_elsewhere	Cx_quinquefasciatus	76	results/pangenome/cloud_composition_summary.tsv
cloud	same_gene_in_reference	Cx_quinquefasciatus	0	results/pangenome/cloud_composition_summary.tsv
cloud	no_counterpart	Cx_quinquefasciatus	12	results/pangenome/cloud_composition_summary.tsv
cloud	pct_same_gene_elsewhere	Cx_quinquefasciatus	86.4	results/pangenome/cloud_composition_summary.tsv
cloud	n_cloud_orthogroups	Cx_pallens	99	results/pangenome/cloud_composition_summary.tsv
cloud	with_outgroup_gene	Cx_pallens	95	results/pangenome/cloud_composition_summary.tsv
cloud	single_ingroup_gene	Cx_pallens	91	results/pangenome/cloud_composition_summary.tsv
cloud	same_gene_elsewhere	Cx_pallens	99	results/pangenome/cloud_composition_summary.tsv
cloud	same_gene_in_reference	Cx_pallens	99	results/pangenome/cloud_composition_summary.tsv
cloud	no_counterpart	Cx_pallens	0	results/pangenome/cloud_composition_summary.tsv
cloud	pct_same_gene_elsewhere	Cx_pallens	100.0	results/pangenome/cloud_composition_summary.tsv
cloud	n_cloud_orthogroups	Cx_molestus	148	results/pangenome/cloud_composition_summary.tsv
cloud	with_outgroup_gene	Cx_molestus	143	results/pangenome/cloud_composition_summary.tsv
cloud	single_ingroup_gene	Cx_molestus	141	results/pangenome/cloud_composition_summary.tsv
cloud	same_gene_elsewhere	Cx_molestus	148	results/pangenome/cloud_composition_summary.tsv
cloud	same_gene_in_reference	Cx_molestus	148	results/pangenome/cloud_composition_summary.tsv
cloud	no_counterpart	Cx_molestus	0	results/pangenome/cloud_composition_summary.tsv
cloud	pct_same_gene_elsewhere	Cx_molestus	100.0	results/pangenome/cloud_composition_summary.tsv
cloud	n_cloud_orthogroups	Cx_pipiens	141	results/pangenome/cloud_composition_summary.tsv
cloud	with_outgroup_gene	Cx_pipiens	134	results/pangenome/cloud_composition_summary.tsv
cloud	single_ingroup_gene	Cx_pipiens	131	results/pangenome/cloud_composition_summary.tsv
cloud	same_gene_elsewhere	Cx_pipiens	141	results/pangenome/cloud_composition_summary.tsv
cloud	same_gene_in_reference	Cx_pipiens	141	results/pangenome/cloud_composition_summary.tsv
cloud	no_counterpart	Cx_pipiens	0	results/pangenome/cloud_composition_summary.tsv
cloud	pct_same_gene_elsewhere	Cx_pipiens	100.0	results/pangenome/cloud_composition_summary.tsv
cloud	n_cloud_orthogroups	total	476	results/pangenome/cloud_composition_summary.tsv
cloud	with_outgroup_gene	total	449	results/pangenome/cloud_composition_summary.tsv
cloud	single_ingroup_gene	total	437	results/pangenome/cloud_composition_summary.tsv
cloud	same_gene_elsewhere	total	464	results/pangenome/cloud_composition_summary.tsv
cloud	same_gene_in_reference	total	388	results/pangenome/cloud_composition_summary.tsv
cloud	no_counterpart	total	12	results/pangenome/cloud_composition_summary.tsv
cloud	pct_same_gene_elsewhere	total	97.5	results/pangenome/cloud_composition_summary.tsv
absence	cloud n_events		1428	results/validation/absence_summary.tsv
absence	cloud absent		17	results/validation/absence_summary.tsv
absence	cloud paralog_only		32	results/validation/absence_summary.tsv
absence	cloud clustered_elsewhere		1310	results/validation/absence_summary.tsv
absence	cloud unannotated_locus		29	results/validation/absence_summary.tsv
absence	cloud weak		40	results/validation/absence_summary.tsv
absence	cloud clustered_elsewhere_same_gene_id		1300	results/validation/absence_summary.tsv
absence	cloud clustered_elsewhere_overlap_identity		10	results/validation/absence_summary.tsv
absence	cloud pct_supported		3.4	results/validation/absence_summary.tsv
absence	cloud pct_artifact		93.8	results/validation/absence_summary.tsv
absence	cloud pct_weak		2.8	results/validation/absence_summary.tsv
absence	shell n_events		4070	results/validation/absence_summary.tsv
absence	shell absent		282	results/validation/absence_summary.tsv
absence	shell paralog_only		113	results/validation/absence_summary.tsv
absence	shell clustered_elsewhere		2989	results/validation/absence_summary.tsv
absence	shell unannotated_locus		124	results/validation/absence_summary.tsv
absence	shell weak		562	results/validation/absence_summary.tsv
absence	shell clustered_elsewhere_same_gene_id		2973	results/validation/absence_summary.tsv
absence	shell clustered_elsewhere_overlap_identity		16	results/validation/absence_summary.tsv
absence	shell pct_supported		9.7	results/validation/absence_summary.tsv
absence	shell pct_artifact		76.5	results/validation/absence_summary.tsv
absence	shell pct_weak		13.8	results/validation/absence_summary.tsv
phylogeny	sco_fastas		0	results/phylo/sco_fastas
phylogeny	trimmed_alignments		9098	results/phylo/trimmed
phylogeny	supermatrix_sites		4893213	results/phylo/trimmed
phylogeny	supermatrix_missing_pct		1.147	results/phylo/trimmed
phylogeny	gCF		58.99	results/phylo/concord.cf.stat
phylogeny	gCF_N		4510	results/phylo/concord.cf.stat
phylogeny	gDF1		18.1	results/phylo/concord.cf.stat
phylogeny	gDF1_N		1384	results/phylo/concord.cf.stat
phylogeny	gDF2		22.91	results/phylo/concord.cf.stat
phylogeny	gDF2_N		1752	results/phylo/concord.cf.stat
phylogeny	gN		7646	results/phylo/concord.cf.stat
phylogeny	sCF		47.6	results/phylo/concord.cf.stat
phylogeny	sDF1		26.73	results/phylo/concord.cf.stat
phylogeny	sDF2		25.67	results/phylo/concord.cf.stat
phylogeny	sN		79714	results/phylo/concord.cf.stat
phylogeny	Length		0.0134169	results/phylo/concord.cf.stat
quartet	Cx_molestus+Cx_pipiens | Cx_pallens+Cx_quinquefasciatus | role		species_tree	results/phylo/quartet_topology_counts.tsv
quartet	Cx_molestus+Cx_pipiens | Cx_pallens+Cx_quinquefasciatus | n_gene_trees		4510	results/phylo/quartet_topology_counts.tsv
quartet	Cx_molestus+Cx_pipiens | Cx_pallens+Cx_quinquefasciatus | pct		58.99	results/phylo/quartet_topology_counts.tsv
quartet	Cx_molestus+Cx_pipiens | Cx_pallens+Cx_quinquefasciatus | iqtree_label		gCF	results/phylo/quartet_topology_counts.tsv
quartet	Cx_molestus+Cx_quinquefasciatus | Cx_pallens+Cx_pipiens | role		major_discordant	results/phylo/quartet_topology_counts.tsv
quartet	Cx_molestus+Cx_quinquefasciatus | Cx_pallens+Cx_pipiens | n_gene_trees		1752	results/phylo/quartet_topology_counts.tsv
quartet	Cx_molestus+Cx_quinquefasciatus | Cx_pallens+Cx_pipiens | pct		22.91	results/phylo/quartet_topology_counts.tsv
quartet	Cx_molestus+Cx_quinquefasciatus | Cx_pallens+Cx_pipiens | iqtree_label		gDF2	results/phylo/quartet_topology_counts.tsv
quartet	Cx_molestus+Cx_pallens | Cx_pipiens+Cx_quinquefasciatus | role		minor_discordant	results/phylo/quartet_topology_counts.tsv
