Family ID	Desc	Cx_molestus	Cx_pallens	Cx_pipiens	Cx_quinquefasciatus	Cx_tarsalis
OG0000337	OG0000337	2	2	2	2	2
OG0000338	OG0000338	2	2	2	2	2
OG0000339	OG0000339	2	2	2	2	2
OG0000340	OG0000340	2	2	3	2	1
OG0000341	OG0000341	2	2	2	2	2
OG0000342	OG0000342	2	2	2	2	2
OG0000343	OG0000343	2	2	2	2	2
OG0000344	OG0000344	2	2	2	2	2
OG0000345	OG0000345	2	2	2	2	2
OG0000346	OG0000346	3	1	2	3	1
OG0000347	OG0000347	2	2	2	3	1
OG0000348	OG0000348	2	3	1	3	1
OG0000349	OG0000349	2	2	2	2	2
OG0000350	OG0000350	2	2	2	2	2
OG0000351	OG0000351	2	2	2	3	1
OG0000352	OG0000352	3	2	2	3	0
OG0000353	OG0000353	2	2	2	3	1
OG0000354	OG0000354	2	2	2	2	2
OG0000355	OG0000355	3	2	1	3	1
OG0000356	OG0000356	2	2	2	2	2
OG0000357	OG0000357	2	2	2	3	1
OG0000358	OG0000358	3	1	3	2	1
OG0000359	OG0000359	1	3	1	5	0
OG0000360	OG0000360	2	2	2	2	2
OG0000361	OG0000361	3	0	3	3	1
OG0000362	OG0000362	2	1	3	3	1
OG0000363	OG0000363	2	2	2	2	2
OG0000364	OG0000364	2	2	2	3	1
OG0000365	OG0000365	2	4	0	2	2
OG0000366	OG0000366	2	1	2	4	1
OG0000367	OG0000367	3	2	4	0	1
OG0000368	OG0000368	2	3	2	2	1
OG0000369	OG0000369	2	2	2	2	2
OG0000370	OG0000370	2	2	2	2	2
OG0000371	OG0000371	2	1	3	4	0
OG0000372	OG0000372	2	1	6	1	0
OG0000373	OG0000373	2	2	2	3	1
OG0000374	OG0000374	3	2	2	2	1
OG0000375	OG0000375	2	2	2	2	2
OG0000376	OG0000376	1	3	2	0	4
OG0000377	OG0000377	2	2	3	3	0
OG0000378	OG0000378	2	2	2	3	1
OG0000379	OG0000379	1	3	3	3	0
OG0000380	OG0000380	2	2	2	2	2
OG0000381	OG0000381	2	1	2	4	1
OG0000382	OG0000382	2	2	2	2	2
OG0000383	OG0000383	2	2	2	2	2
OG0000384	OG0000384	2	2	2	3	1
OG0000385	OG0000385	1	2	3	3	1
OG0000386	OG0000386	2	2	2	3	1
OG0000387	OG0000387	2	2	2	2	2
OG0000388	OG0000388	2	2	2	3	1
OG0000389	OG0000389	2	3	2	3	0
OG0000390	OG0000390	2	2	2	2	2
OG0000391	OG0000391	2	1	3	3	1
OG0000392	OG0000392	2	2	2	2	2
OG0000393	OG0000393	2	2	2	2	2
OG0000394	OG0000394	2	2	2	2	2
OG0000395	OG0000395	2	2	2	2	2
OG0000396	OG0000396	2	3	2	3	0
OG0000397	OG0000397	2	2	2	4	0
OG0000398	OG0000398	0	2	0	8	0
OG0000399	OG0000399	0	2	3	3	2
OG0000400	OG0000400	2	2	2	3	0
OG0000401	OG0000401	2	2	2	2	1
OG0000402	OG0000402	2	2	2	2	1
OG0000403	OG0000403	2	2	2	2	1
OG0000404	OG0000404	1	2	1	3	2
OG0000405	OG0000405	2	2	1	3	1
OG0000406	OG0000406	2	2	2	2	1
OG0000407	OG0000407	2	2	2	2	1
OG0000408	OG0000408	3	0	2	2	2
OG0000409	OG0000409	1	1	1	5	1
OG0000410	OG0000410	2	2	2	2	1
OG0000411	OG0000411	2	2	2	2	1
OG0000412	OG0000412	2	2	1	3	1
OG0000413	OG0000413	2	2	2	2	1
OG0000414	OG0000414	2	2	2	2	1
OG0000415	OG0000415	2	2	2	2	1
OG0000416	OG0000416	1	2	2	2	2
OG0000417	OG0000417	2	2	1	3	1
OG0000418	OG0000418	2	2	1	3	1
OG0000419	OG0000419	2	2	2	2	1
OG0000420	OG0000420	1	2	2	2	2
OG0000421	OG0000421	2	2	2	2	1
OG0000422	OG0000422	2	2	2	2	1
OG0000423	OG0000423	2	2	2	2	1
OG0000424	OG0000424	2	3	0	3	1
OG0000425	OG0000425	0	2	4	2	1
OG0000426	OG0000426	2	2	2	2	1
OG0000427	OG0000427	2	2	2	2	1
OG0000428	OG0000428	2	1	2	2	2
OG0000429	OG0000429	2	2	2	2	1
OG0000430	OG0000430	2	2	2	2	1
OG0000431	OG0000431	2	2	2	2	1
OG0000432	OG0000432	2	2	2	2	1
OG0000433	OG0000433	2	2	2	2	1
OG0000434	OG0000434	2	2	2	2	1
OG0000435	OG0000435	2	2	2	2	1
OG0000436	OG0000436	2	2	2	2	1
OG0000437	OG0000437	2	2	2	2	1
OG0000438	OG0000438	2	2	2	2	1
OG0000439	OG0000439	2	2	2	2	1
OG0000440	OG0000440	2	3	1	2	1
OG0000441	OG0000441	2	2	2	2	1
OG0000442	OG0000442	2	2	2	2	1
OG0000443	OG0000443	2	1	2	2	2
OG0000444	OG0000444	2	2	2	2	1
OG0000445	OG0000445	2	2	2	2	1
OG0000446	OG0000446	2	2	2	2	1
OG0000447	OG0000447	2	2	2	2	1
OG0000448	OG0000448	1	2	2	3	1
OG0000449	OG0000449	2	1	1	3	2
OG0000450	OG0000450	2	2	2	2	1
OG0000451	OG0000451	2	2	2	2	1
OG0000452	OG0000452	2	2	2	2	1
OG0000453	OG0000453	2	2	2	2	1
OG0000454	OG0000454	2	2	2	2	1
OG0000455	OG0000455	2	2	2	2	1
OG0000456	OG0000456	2	2	2	2	1
OG0000457	OG0000457	2	2	2	2	1
OG0000458	OG0000458	2	2	2	2	1
OG0000459	OG0000459	2	2	2	2	1
OG0000460	OG0000460	2	2	2	2	1
OG0000461	OG0000461	2	2	2	2	1
OG0000462	OG0000462	2	2	2	2	1
OG0000463	OG0000463	2	2	2	2	1
OG0000464	OG0000464	2	2	2	2	1
OG0000465	OG0000465	2	2	2	2	1
OG0000466	OG0000466	2	2	2	2	1
OG0000467	OG0000467	2	2	2	2	1
OG0000468	OG0000468	2	2	2	2	1
OG0000469	OG0000469	2	2	2	2	1
OG0000470	OG0000470	2	2	2	2	1
OG0000471	OG0000471	2	2	2	2	1
OG0000472	OG0000472	2	2	2	2	1
OG0000473	OG0000473	2	2	2	2	1
OG0000474	OG0000474	0	3	1	0	5
OG0000475	OG0000475	2	2	2	2	1
OG0000476	OG0000476	2	2	2	2	1
OG0000477	OG0000477	2	2	2	2	1
OG0000478	OG0000478	2	2	2	2	1
OG0000479	OG0000479	2	2	2	2	1
OG0000480	OG0000480	2	2	2	2	1
OG0000481	OG0000481	2	2	2	3	0
OG0000482	OG0000482	2	3	2	2	0
OG0000483	OG0000483	2	2	2	2	1
OG0000484	OG0000484	2	2	1	2	2
OG0000485	OG0000485	2	2	2	2	1
OG0000486	OG0000486	2	2	2	2	1
OG0000487	OG0000487	2	2	2	2	1
OG0000488	OG0000488	2	1	2	2	2
OG0000489	OG0000489	2	2	2	2	1
OG0000490	OG0000490	2	2	1	4	0
OG0000491	OG0000491	2	2	2	2	1
OG0000492	OG0000492	2	2	3	1	1
OG0000493	OG0000493	2	2	2	1	2
OG0000494	OG0000494	2	2	2	2	1
OG0000495	OG0000495	2	2	2	2	1
OG0000496	OG0000496	2	2	2	2	1
OG0000497	OG0000497	2	2	2	2	1
OG0000498	OG0000498	2	2	2	2	1
OG0000499	OG0000499	2	2	2	2	1
OG0000500	OG0000500	2	2	2	2	1
OG0000501	OG0000501	2	2	2	2	1
OG0000502	OG0000502	2	2	2	2	1
OG0000503	OG0000503	2	2	2	2	1
OG0000504	OG0000504	2	2	2	2	1
OG0000505	OG0000505	2	2	2	2	1
OG0000506	OG0000506	2	2	2	2	1
OG0000507	OG0000507	1	2	2	3	1
OG0000508	OG0000508	2	0	3	3	1
OG0000509	OG0000509	2	2	2	3	0
OG0000510	OG0000510	2	2	2	2	1
OG0000511	OG0000511	2	2	2	2	1
OG0000512	OG0000512	2	2	1	3	1
OG0000513	OG0000513	2	2	2	2	1
OG0000514	OG0000514	2	2	2	2	1
OG0000515	OG0000515	2	2	2	3	0
OG0000516	OG0000516	2	2	2	2	1
OG0000517	OG0000517	2	2	2	2	1
OG0000518	OG0000518	1	2	2	3	1
OG0000519	OG0000519	2	2	2	2	1
OG0000520	OG0000520	2	2	2	2	1
OG0000521	OG0000521	2	2	2	2	1
OG0000522	OG0000522	2	2	2	2	1
OG0000523	OG0000523	2	2	2	2	1
OG0000524	OG0000524	2	2	2	2	1
OG0000525	OG0000525	2	2	2	3	0
OG0000526	OG0000526	2	1	2	2	2
OG0000527	OG0000527	2	2	2	2	1
OG0000528	OG0000528	2	1	2	2	2
OG0000529	OG0000529	2	2	2	2	1
OG0000530	OG0000530	2	2	2	2	1
OG0000531	OG0000531	2	2	2	2	1
OG0000532	OG0000532	1	3	2	0	3
OG0000533	OG0000533	2	2	2	2	1
OG0000534	OG0000534	2	2	2	2	1
OG0000535	OG0000535	2	2	2	2	1
OG0000536	OG0000536	2	2	2	2	1
OG0000537	OG0000537	2	2	2	2	1
OG0000538	OG0000538	1	0	3	4	1
OG0000539	OG0000539	2	2	2	2	1
OG0000540	OG0000540	2	2	2	2	1
OG0000541	OG0000541	2	2	2	2	1
OG0000542	OG0000542	2	2	2	2	1
OG0000543	OG0000543	2	2	2	2	1
OG0000544	OG0000544	2	2	2	2	1
OG0000545	OG0000545	2	2	2	2	1
OG0000546	OG0000546	2	2	2	2	1
OG0000547	OG0000547	2	2	2	2	1
OG0000548	OG0000548	2	2	2	2	1
OG0000549	OG0000549	2	2	2	2	1
OG0000550	OG0000550	3	1	1	3	1
OG0000551	OG0000551	2	2	2	2	1
OG0000552	OG0000552	2	2	2	2	1
OG0000553	OG0000553	2	2	2	2	1
OG0000554	OG0000554	2	2	2	2	1
OG0000555	OG0000555	2	2	2	2	1
OG0000556	OG0000556	2	2	2	2	1
OG0000557	OG0000557	2	2	2	2	1
OG0000558	OG0000558	2	2	2	2	1
OG0000559	OG0000559	2	2	2	2	1
OG0000560	OG0000560	2	2	1	3	1
OG0000561	OG0000561	2	2	2	2	1
OG0000562	OG0000562	2	2	2	2	1
OG0000563	OG0000563	2	2	2	2	1
OG0000564	OG0000564	2	2	2	2	1
OG0000565	OG0000565	2	2	2	2	1
OG0000566	OG0000566	2	2	2	2	1
OG0000567	OG0000567	2	2	2	2	1
OG0000568	OG0000568	2	2	2	2	1
OG0000569	OG0000569	2	2	2	2	1
OG0000570	OG0000570	2	2	2	2	1
OG0000571	OG0000571	2	2	2	2	1
OG0000572	OG0000572	2	2	2	2	1
OG0000573	OG0000573	2	2	2	2	1
OG0000574	OG0000574	2	2	2	2	1
OG0000575	OG0000575	2	2	2	2	1
OG0000576	OG0000576	2	2	2	2	1
OG0000577	OG0000577	2	2	2	2	1
OG0000578	OG0000578	1	2	2	2	2
OG0000579	OG0000579	2	2	2	2	1
OG0000580	OG0000580	2	2	2	2	1
OG0000581	OG0000581	2	2	2	2	1
OG0000582	OG0000582	2	2	2	2	1
OG0000583	OG0000583	2	2	2	2	1
OG0000584	OG0000584	2	2	2	2	1
OG0000585	OG0000585	2	2	2	2	1
OG0000586	OG0000586	2	2	2	2	1
OG0000587	OG0000587	2	2	2	2	1
OG0000588	OG0000588	1	1	2	4	1
OG0000589	OG0000589	2	2	2	2	1
OG0000590	OG0000590	2	2	2	2	1
OG0000591	OG0000591	2	2	2	2	1
OG0000592	OG0000592	2	2	2	2	1
OG0000593	OG0000593	1	2	2	2	2
OG0000594	OG0000594	2	2	2	2	1
OG0000595	OG0000595	2	2	2	2	1
OG0000596	OG0000596	2	2	2	2	1
OG0000597	OG0000597	2	2	2	2	1
OG0000598	OG0000598	2	2	2	2	1
OG0000599	OG0000599	2	2	2	2	1
OG0000600	OG0000600	2	2	2	2	1
OG0000601	OG0000601	2	2	2	2	1
OG0000602	OG0000602	2	2	2	2	1
OG0000603	OG0000603	2	2	2	2	1
OG0000604	OG0000604	2	2	2	2	1
OG0000605	OG0000605	2	2	2	2	1
OG0000606	OG0000606	2	2	2	2	1
OG0000607	OG0000607	2	2	2	2	1
OG0000608	OG0000608	2	2	2	2	1
OG0000609	OG0000609	2	2	2	2	1
OG0000610	OG0000610	2	2	2	2	1
OG0000611	OG0000611	1	1	1	5	1
OG0000612	OG0000612	2	2	2	2	1
OG0000613	OG0000613	2	2	2	2	1
OG0000614	OG0000614	2	2	2	2	1
OG0000615	OG0000615	2	2	2	2	1
OG0000616	OG0000616	2	1	2	3	1
OG0000617	OG0000617	2	2	2	2	1
OG0000618	OG0000618	2	2	2	2	1
OG0000619	OG0000619	1	2	2	3	1
OG0000620	OG0000620	1	2	2	3	1
OG0000621	OG0000621	2	2	2	2	1
OG0000622	OG0000622	2	2	2	2	1
OG0000623	OG0000623	2	2	2	2	1
OG0000624	OG0000624	1	1	1	3	3
OG0000625	OG0000625	2	2	2	2	1
OG0000626	OG0000626	2	2	2	2	1
OG0000627	OG0000627	2	2	2	2	1
OG0000628	OG0000628	2	2	1	3	1
OG0000629	OG0000629	2	2	2	2	1
OG0000630	OG0000630	2	1	2	2	2
