cluster	n_inversions	n_pairs	chromosomes	max_span_bp	genome_in_every_pair	any_at_least_large_span	pairs	members
11	3	3	chr2	366568	Cx_pallens	False	Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens;Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:62627758-62755675;Cx_pallens_vs_Cx_molestus:NC_068938.1:158005250-158371818;Cx_pallens_vs_Cx_pipiens:NC_068938.1:158005250-158371818
12	1	1	chr2	265162		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:63773108-64038270
13	1	1	chr2	139145		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:64129334-64268480
14	1	1	chr2	188821		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:74007441-74196262
15	1	1	chr2	131602		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:76293912-76425514
16	1	1	chr2	1022888		True	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:103689997-104712885
17	1	1	chr2	277219		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:109831260-110108479
18	1	1	chr2	452804		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:113682849-114135654
19	1	1	chr2	113916		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:114316993-114430909
20	1	1	chr2	278657		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:125998723-126277380
21	1	1	chr2	136204		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:148455818-148592023
22	1	1	chr2	197132		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:164266994-164464126
23	1	1	chr2	126209		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:164534201-164660410
24	2	2	chr2	161568	Cx_quinquefasciatus	False	Cx_quinquefasciatus_vs_Cx_pallens;Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:209608010-209769578;Cx_quinquefasciatus_vs_Cx_pipiens:NC_051862.1:209592838-209701593
25	2	2	chr2	113938	Cx_quinquefasciatus	False	Cx_quinquefasciatus_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:211533447-211647385;Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:211533447-211647385
26	1	1	chr2	233295		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:216885186-217118481
27	1	1	chr3	158425		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051863.1:32261535-32419960
28	2	2	chr3	127757	Cx_quinquefasciatus	False	Cx_quinquefasciatus_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051863.1:59006210-59133967;Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:59006210-59133967
29	1	1	chr3	271220		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051863.1:70705942-70977162
30	1	1	chr3	555185		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051863.1:84227710-84782895
31	1	1	chr3	232139		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051863.1:85389435-85621575
32	1	1	chr3	230877		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051863.1:88084627-88315505
33	1	1	chr3	1506935		True	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051863.1:100047397-101554333
34	1	1	chr3	867055		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051863.1:102936771-103803827
35	1	1	chr3	155906		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051863.1:122092840-122248746
36	1	1	chr3	319436		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051863.1:178234366-178553802
37	2	2	chr3	179703	Cx_quinquefasciatus	False	Cx_quinquefasciatus_vs_Cx_pallens;Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051863.1:182822731-183002434;Cx_quinquefasciatus_vs_Cx_pipiens:NC_051863.1:182822731-182999401
38	3	3	chr1	286570	Cx_pallens	False	Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens;Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:16621291-16907861;Cx_pallens_vs_Cx_molestus:NC_068937.1:121788914-122032218;Cx_pallens_vs_Cx_pipiens:NC_068937.1:121788914-122032218
39	3	3	chr1	169190	Cx_pallens	False	Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens;Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:28098348-28267539;Cx_pallens_vs_Cx_molestus:NC_068937.1:90635264-90776003;Cx_pallens_vs_Cx_pipiens:NC_068937.1:90635264-90771677
40	3	3	chr1	139309	none	False	Cx_molestus_vs_Cx_pipiens;Cx_quinquefasciatus_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:29004716-29141675;Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:29004716-29141675;Cx_molestus_vs_Cx_pipiens:CM044968.1:39829305-39968614
41	1	1	chr1	528035		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:29158315-29686351
42	3	3	chr1	1075681	Cx_quinquefasciatus	True	Cx_quinquefasciatus_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_pallens;Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:29828253-30865272;Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:30543825-31619506;Cx_quinquefasciatus_vs_Cx_pipiens:NC_051861.1:30543825-31619506
43	1	1	chr1	647275		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:30972231-31619506
44	2	2	chr1	127325	Cx_quinquefasciatus	False	Cx_quinquefasciatus_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:31718804-31842378;Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:31725327-31852652
45	3	3	chr1	771919	Cx_quinquefasciatus	False	Cx_quinquefasciatus_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_pallens;Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:31854510-32599801;Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:31878299-32510140;Cx_quinquefasciatus_vs_Cx_pipiens:NC_051861.1:31854510-32626429
46	3	3	chr1	799993	Cx_quinquefasciatus	False	Cx_quinquefasciatus_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_pallens;Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:32613049-33413042;Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:32613049-33304561;Cx_quinquefasciatus_vs_Cx_pipiens:NC_051861.1:32709495-33304561
47	1	1	chr1	118123		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:33596433-33714556
48	3	3	chr1	1421135	Cx_quinquefasciatus	True	Cx_quinquefasciatus_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_pallens;Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:33715596-33991185;Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:33596433-33991185;Cx_quinquefasciatus_vs_Cx_pipiens:NC_051861.1:33596433-35017568
49	2	2	chr1	740360	Cx_quinquefasciatus	False	Cx_quinquefasciatus_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:34277208-35017568;Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:34799277-34954048
50	3	3	chr1	218274	Cx_quinquefasciatus	False	Cx_quinquefasciatus_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_pallens;Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:35050808-35258742;Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:35041960-35260235;Cx_quinquefasciatus_vs_Cx_pipiens:NC_051861.1:35041960-35258742
51	2	2	chr1	1457410	Cx_quinquefasciatus	True	Cx_quinquefasciatus_vs_Cx_pallens;Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:35260235-36717645;Cx_quinquefasciatus_vs_Cx_pipiens:NC_051861.1:35260235-36055180
52	1	1	chr1	1272260		True	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:36743764-38016024
53	1	1	chr1	962271		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:38307149-39269420
54	1	1	chr1	1814500		True	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:39411371-41225871
55	3	3	chr1	474925	Cx_pallens	False	Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens;Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:41467541-41942466;Cx_pallens_vs_Cx_molestus:NC_068937.1:103631488-104031452;Cx_pallens_vs_Cx_pipiens:NC_068937.1:103631488-104031452
56	3	3	chr1	1494413	Cx_pallens	True	Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens;Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:42047558-43541971;Cx_pallens_vs_Cx_molestus:NC_068937.1:104870963-105562082;Cx_pallens_vs_Cx_pipiens:NC_068937.1:104271592-105573157
57	3	3	chr1	468467	Cx_pallens	False	Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens;Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:43574478-43752759;Cx_pallens_vs_Cx_molestus:NC_068937.1:105573157-106041625;Cx_pallens_vs_Cx_pipiens:NC_068937.1:105598183-105819784
58	1	1	chr1	132381		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:43769441-43901822
59	1	1	chr1	204225		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:43913314-44117539
60	3	3	chr1	1660442	Cx_pallens	True	Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens;Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:44529957-45445266;Cx_pallens_vs_Cx_molestus:NC_068937.1:106181270-107445133;Cx_pallens_vs_Cx_pipiens:NC_068937.1:106107520-107767962
61	1	1	chr1	472359		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:45454387-45926746
62	1	1	chr1	651801		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:46100548-46752350
63	1	1	chr1	623191		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:46966586-47589777
64	1	1	chr1	376319		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:47772761-48149080
65	3	3	chr1	1054735	Cx_pallens	True	Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens;Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:48226319-49281054;Cx_pallens_vs_Cx_molestus:NC_068937.1:109859790-110581566;Cx_pallens_vs_Cx_pipiens:NC_068937.1:109597941-110037275
66	1	1	chr1	160806		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:49703286-49864092
67	1	1	chr1	277453		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:52638607-52916060
68	1	1	chr1	229339		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:56565810-56795150
69	1	1	chr1	518267		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:57008242-57526509
70	1	1	chr1	561591		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:59027862-59589453
71	1	1	chr1	200952		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:61126806-61327758
72	1	1	chr1	109006		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:63483133-63592140
73	1	1	chr1	394752		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:64365701-64760453
74	1	1	chr1	106333		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:65371112-65477445
75	1	1	chr1	365261		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:65885233-66250494
76	1	1	chr1	123332		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:69712545-69835877
77	1	1	chr1	471633		False	Cx_quinquefasciatus_vs_Cx_pallens	Cx_quinquefasciatus_vs_Cx_pallens:NC_051861.1:96902075-97373708
78	3	3	chr2	252742	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:12156264-12368797;Cx_pallens_vs_Cx_molestus:NC_068938.1:211473101-211679834;Cx_molestus_vs_Cx_pipiens:CM044969.1:15625912-15878654
79	3	3	chr2	737861	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:37049479-37787340;Cx_pallens_vs_Cx_molestus:NC_068938.1:185636958-186315888;Cx_molestus_vs_Cx_pipiens:CM044969.1:36635527-37250228
80	2	2	chr2	578675	Cx_molestus	False	Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:45632570-45789921;Cx_pallens_vs_Cx_molestus:NC_068938.1:176953062-177531737
81	1	1	chr2	310514		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:45861280-46171794
82	3	3	chr2	264479	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:47796870-48032255;Cx_pallens_vs_Cx_molestus:NC_068938.1:175101180-175365660;Cx_molestus_vs_Cx_pipiens:CM044969.1:46732158-46928465
83	1	1	chr2	423140		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:48072163-48495303
84	2	2	chr2	199035	Cx_molestus	False	Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:49478271-49677306;Cx_pallens_vs_Cx_molestus:NC_068938.1:173532106-173715954
85	3	3	chr2	398044	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:54820020-54998893;Cx_pallens_vs_Cx_molestus:NC_068938.1:167856143-168052398;Cx_molestus_vs_Cx_pipiens:CM044969.1:53910240-54308284
86	2	2	chr2	140043	Cx_molestus	False	Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:68685600-68811664;Cx_pallens_vs_Cx_molestus:NC_068938.1:151730289-151870332
87	3	3	chr2	153760	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:81789299-81916445;Cx_pallens_vs_Cx_molestus:NC_068938.1:137701489-137804388;Cx_molestus_vs_Cx_pipiens:CM044969.1:79336566-79490326
88	2	2	chr2	167619	Cx_molestus	False	Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:86803704-86971323;Cx_pallens_vs_Cx_molestus:NC_068938.1:132573778-132701548
89	1	1	chr2	435064		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:91332088-91767152
90	1	1	chr2	324519		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:101502655-101827174
91	1	1	chr2	433786		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:106521098-106954884
92	1	1	chr2	367254		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:106956342-107323596
93	1	1	chr2	577331		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:107482759-108060090
94	1	1	chr2	395415		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:108186657-108582073
95	1	1	chr2	254946		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:108649861-108904807
96	1	1	chr2	434204		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:109179358-109613562
97	1	1	chr2	363159		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:113122919-113486078
98	2	2	chr2	628472	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:124641270-124977486;Cx_molestus_vs_Cx_pipiens:CM044969.1:108852461-109480934
99	1	1	chr2	250565		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:133097664-133348230
100	3	3	chr2	260269	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:138647552-138750520;Cx_pallens_vs_Cx_molestus:NC_068938.1:94091816-94218047;Cx_molestus_vs_Cx_pipiens:CM044969.1:120954483-121214752
101	3	3	chr2	159756	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:138795437-138955194;Cx_pallens_vs_Cx_molestus:NC_068938.1:93922911-94046289;Cx_molestus_vs_Cx_pipiens:CM044969.1:123430706-123568329
102	1	1	chr2	488509		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:143069372-143557882
103	3	3	chr2	406428	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:160378351-160496205;Cx_pallens_vs_Cx_molestus:NC_068938.1:70490660-70607966;Cx_molestus_vs_Cx_pipiens:CM044969.1:145497091-145903519
104	1	1	chr2	104378		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:160672460-160776838
105	3	3	chr2	474954	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:171303478-171543111;Cx_pallens_vs_Cx_molestus:NC_068938.1:57985768-58460722;Cx_molestus_vs_Cx_pipiens:CM044969.1:156538107-156871903
106	2	2	chr2	254376	Cx_molestus	False	Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:189472070-189726446;Cx_pallens_vs_Cx_molestus:NC_068938.1:37197212-37448202
107	3	3	chr2	651038	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:192003535-192163314;Cx_pallens_vs_Cx_molestus:NC_068938.1:34480670-34649931;Cx_molestus_vs_Cx_pipiens:CM044969.1:178035190-178686228
108	3	3	chr2	651032	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:200258607-200909640;Cx_pallens_vs_Cx_molestus:NC_068938.1:25248020-25877659;Cx_molestus_vs_Cx_pipiens:CM044969.1:185514942-185863429
109	1	1	chr2	164808		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:209026200-209191008
110	3	3	chr2	316977	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051862.1:215991046-216284735;Cx_pallens_vs_Cx_molestus:NC_068938.1:9070197-9387175;Cx_molestus_vs_Cx_pipiens:CM044969.1:202877548-203083219
111	3	3	chr3	223302	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:4283288-4460784;Cx_pallens_vs_Cx_molestus:NC_068939.1:181826729-182050031;Cx_molestus_vs_Cx_pipiens:CM044970.1:10963565-11136251
112	1	1	chr3	363475		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:11167911-11531386
113	2	2	chr3	146825	Cx_molestus	False	Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:34133453-34280278;Cx_pallens_vs_Cx_molestus:NC_068939.1:153359239-153476342
