sample1	sample2	seqid	start_bp	end_bp	span_bp	n_genes
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	49703286	49864092	160806	3
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	52638607	52916060	277453	6
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	56565810	56795150	229339	4
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	57008242	57526509	518267	3
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	59027862	59589453	561591	4
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	61126806	61327758	200952	3
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	63483133	63592140	109006	4
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	64365701	64760453	394752	4
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	65371112	65477445	106333	3
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	65885233	66250494	365261	3
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	69712545	69835877	123332	3
Cx_quinquefasciatus	Cx_pallens	NC_051861.1	96902075	97373708	471633	3
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	12156264	12368797	212533	8
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	37049479	37787340	737861	5
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	45632570	45789921	157351	6
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	45861280	46171794	310514	3
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	47796870	48032255	235384	4
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	48072163	48495303	423140	4
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	49478271	49677306	199035	6
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	54820020	54998893	178873	6
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	68685600	68811664	126064	8
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	81789299	81916445	127146	3
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	86803704	86971323	167619	3
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	91332088	91767152	435064	3
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	101502655	101827174	324519	5
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	106521098	106954884	433786	4
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	106956342	107323596	367254	3
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	107482759	108060090	577331	6
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	108186657	108582073	395415	4
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	108649861	108904807	254946	3
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	109179358	109613562	434204	3
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	113122919	113486078	363159	3
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	124641270	124977486	336215	10
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	133097664	133348230	250565	3
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	138647552	138750520	102967	9
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	138795437	138955194	159756	7
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	143069372	143557882	488509	3
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	160378351	160496205	117854	14
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	160672460	160776838	104378	7
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	171303478	171543111	239633	3
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	189472070	189726446	254376	5
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	192003535	192163314	159779	11
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	200258607	200909640	651032	8
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	209026200	209191008	164808	3
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	211533447	211647385	113938	5
Cx_quinquefasciatus	Cx_molestus	NC_051862.1	215991046	216284735	293689	15
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	4283288	4460784	177496	10
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	11167911	11531386	363475	3
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	34133453	34280278	146825	3
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	46440459	46559769	119310	4
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	54106721	54447729	341008	3
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	59006210	59133967	127757	3
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	68279118	68415944	136825	3
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	74088369	74499270	410901	6
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	74525999	74701493	175493	11
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	74711418	75200396	488978	13
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	75201899	75505585	303685	6
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	81124858	81278638	153779	3
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	81774844	82093811	318966	3
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	86440729	86786682	345952	5
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	87066034	87280752	214718	3
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	90242640	90426566	183926	3
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	91244686	91706814	462128	4
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	92032260	92139475	107215	3
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	93467424	93656946	189521	5
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	95861166	95969650	108484	3
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	96536880	96780665	243785	5
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	99640050	99785550	145500	7
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	100357239	100638863	281624	5
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	100790904	101554333	763429	13
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	101963108	102144954	181846	3
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	102249025	102485722	236697	5
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	102893169	103000427	107257	4
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	116876581	117191055	314474	11
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	120377030	120578688	201657	8
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	121080510	121414512	334002	3
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	121491112	121645164	154051	3
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	123457683	123774254	316571	4
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	132116980	132561044	444063	7
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	132743247	133902842	1159595	30
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	134024865	134173749	148883	6
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	134187017	134411727	224709	4
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	134527930	134717731	189800	9
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	134723148	135000080	276932	6
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	140970175	141142175	172000	4
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	147898962	148114599	215637	8
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	157873654	158058782	185128	4
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	158259409	158626938	367529	4
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	158661417	158817792	156375	14
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	174943348	175169536	226188	15
Cx_quinquefasciatus	Cx_molestus	NC_051863.1	191679013	191783922	104909	8
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	2031468	2457030	425562	7
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	26706769	27180649	473880	4
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	29004716	29141675	136958	8
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	29402581	29686351	283769	11
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	29686848	29818807	131959	18
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	29869672	30522997	653324	5
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	30543825	31619506	1075681	10
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	31725327	31852652	127325	8
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	31878299	32510140	631841	22
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	32613049	33304561	691512	27
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	33353290	33553133	199843	14
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	33596433	33991185	394752	18
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	34151320	34386101	234781	3
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	34799277	34954048	154771	8
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	35041960	35260235	218274	13
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	35270599	35567379	296779	7
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	35738927	36211589	472661	8
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	36654321	37319234	664913	15
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	37415968	38181234	765266	20
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	38298646	39548283	1249637	31
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	39759863	39966151	206288	3
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	50771764	51538807	767043	4
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	53672431	54055381	382950	20
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	56685714	56795150	109436	3
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	57063062	57985959	922897	3
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	58017071	58221930	204858	3
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	58326975	58715762	388787	5
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	60400411	60757628	357217	3
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	60929287	61879494	950206	3
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	62569928	62774187	204258	3
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	77809505	78137887	328382	4
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	87632819	87767134	134315	4
Cx_quinquefasciatus	Cx_molestus	NC_051861.1	87782030	88181673	399643	3
Cx_quinquefasciatus	Cx_pipiens	NC_051862.1	47615899	47741376	125476	3
Cx_quinquefasciatus	Cx_pipiens	NC_051862.1	61324738	61587546	262808	3
Cx_quinquefasciatus	Cx_pipiens	NC_051862.1	68829440	68942162	112722	3
Cx_quinquefasciatus	Cx_pipiens	NC_051862.1	112902473	113135538	233065	4
Cx_quinquefasciatus	Cx_pipiens	NC_051862.1	114352212	114464919	112706	3
Cx_quinquefasciatus	Cx_pipiens	NC_051862.1	114948029	115070270	122240	3
Cx_quinquefasciatus	Cx_pipiens	NC_051862.1	123037927	123379259	341332	3
Cx_quinquefasciatus	Cx_pipiens	NC_051862.1	128160984	128297094	136110	3
Cx_quinquefasciatus	Cx_pipiens	NC_051862.1	136061829	136338740	276911	3
Cx_quinquefasciatus	Cx_pipiens	NC_051862.1	138566970	138669049	102079	3
Cx_quinquefasciatus	Cx_pipiens	NC_051862.1	147442122	147546564	104442	3
Cx_quinquefasciatus	Cx_pipiens	NC_051862.1	209592838	209701593	108755	3
Cx_quinquefasciatus	Cx_pipiens	NC_051863.1	29965238	30174765	209526	3
Cx_quinquefasciatus	Cx_pipiens	NC_051863.1	57221921	57360605	138683	3
Cx_quinquefasciatus	Cx_pipiens	NC_051863.1	89845865	90453270	607405	7
Cx_quinquefasciatus	Cx_pipiens	NC_051863.1	90685877	90806357	120480	3
Cx_quinquefasciatus	Cx_pipiens	NC_051863.1	110921308	111617333	696025	3
Cx_quinquefasciatus	Cx_pipiens	NC_051863.1	122937957	123128362	190404	3
Cx_quinquefasciatus	Cx_pipiens	NC_051863.1	128356092	128561196	205104	3
Cx_quinquefasciatus	Cx_pipiens	NC_051863.1	133902842	134024865	122023	3
Cx_quinquefasciatus	Cx_pipiens	NC_051863.1	136914755	137049221	134466	4
Cx_quinquefasciatus	Cx_pipiens	NC_051863.1	142246931	142440117	193186	4
Cx_quinquefasciatus	Cx_pipiens	NC_051863.1	145026605	145294657	268052	3
Cx_quinquefasciatus	Cx_pipiens	NC_051863.1	182822731	182999401	176669	4
Cx_quinquefasciatus	Cx_pipiens	NC_051863.1	187696698	187809144	112446	3
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	6694872	6990304	295432	3
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	29408043	29726847	318803	13
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	29741701	30144072	402370	15
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	30168071	30522997	354926	4
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	30543825	31619506	1075681	10
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	31854510	32626429	771919	28
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	32709495	33304561	595066	26
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	33305565	33553133	247568	18
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	33596433	35017568	1421135	31
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	35041960	35258742	216782	12
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	35260235	36055180	794945	16
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	36434912	37259671	824758	14
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	37266816	38179818	913002	22
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	38310670	38749611	438941	7
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	38791749	39314052	522302	14
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	39448811	39966151	517340	18
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	63238851	63376224	137373	3
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	63869414	64278911	409497	3
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	64416089	64669594	253505	3
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	64921049	65064958	143909	3
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	67068374	67195979	127605	3
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	68110721	68287397	176676	4
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	88394833	89019481	624648	3
Cx_quinquefasciatus	Cx_pipiens	NC_051861.1	107518558	107753984	235426	4
Cx_pallens	Cx_molestus	NC_068938.1	9070197	9387175	316977	15
Cx_pallens	Cx_molestus	NC_068938.1	24647531	24802099	154568	3
Cx_pallens	Cx_molestus	NC_068938.1	25248020	25877659	629639	8
Cx_pallens	Cx_molestus	NC_068938.1	25952346	26072546	120200	3
Cx_pallens	Cx_molestus	NC_068938.1	34480670	34649931	169261	11
Cx_pallens	Cx_molestus	NC_068938.1	37197212	37448202	250989	5
Cx_pallens	Cx_molestus	NC_068938.1	57985768	58460722	474954	4
Cx_pallens	Cx_molestus	NC_068938.1	65348501	65632955	284454	3
Cx_pallens	Cx_molestus	NC_068938.1	66015140	66164947	149806	3
Cx_pallens	Cx_molestus	NC_068938.1	68653147	68765698	112551	3
Cx_pallens	Cx_molestus	NC_068938.1	70490660	70607966	117305	14
Cx_pallens	Cx_molestus	NC_068938.1	79915485	80034782	119297	3
Cx_pallens	Cx_molestus	NC_068938.1	86436918	86578587	141669	7
Cx_pallens	Cx_molestus	NC_068938.1	93922911	94046289	123378	7
Cx_pallens	Cx_molestus	NC_068938.1	94091816	94218047	126231	10
Cx_pallens	Cx_molestus	NC_068938.1	95376270	95502353	126082	4
Cx_pallens	Cx_molestus	NC_068938.1	107321701	107512792	191091	5
Cx_pallens	Cx_molestus	NC_068938.1	111138502	111426080	287578	3
Cx_pallens	Cx_molestus	NC_068938.1	112420321	112905184	484863	4
Cx_pallens	Cx_molestus	NC_068938.1	120049884	120473151	423267	3
Cx_pallens	Cx_molestus	NC_068938.1	121714446	121921298	206851	4
Cx_pallens	Cx_molestus	NC_068938.1	125967492	126313347	345855	3
Cx_pallens	Cx_molestus	NC_068938.1	132573778	132701548	127770	3
Cx_pallens	Cx_molestus	NC_068938.1	137701489	137804388	102899	3
Cx_pallens	Cx_molestus	NC_068938.1	148884607	149134278	249671	4
Cx_pallens	Cx_molestus	NC_068938.1	151730289	151870332	140043	5
Cx_pallens	Cx_molestus	NC_068938.1	156688858	157308871	620012	6
Cx_pallens	Cx_molestus	NC_068938.1	157351176	157623195	272019	4
Cx_pallens	Cx_molestus	NC_068938.1	157646346	157778022	131676	3
Cx_pallens	Cx_molestus	NC_068938.1	158005250	158371818	366568	4
Cx_pallens	Cx_molestus	NC_068938.1	162458703	162721365	262662	6
Cx_pallens	Cx_molestus	NC_068938.1	162937674	163428112	490438	4
Cx_pallens	Cx_molestus	NC_068938.1	163464246	163625929	161682	6
Cx_pallens	Cx_molestus	NC_068938.1	163827681	163985207	157526	8
Cx_pallens	Cx_molestus	NC_068938.1	167856143	168052398	196255	6
Cx_pallens	Cx_molestus	NC_068938.1	171919259	172028853	109593	5
Cx_pallens	Cx_molestus	NC_068938.1	173532106	173715954	183848	6
Cx_pallens	Cx_molestus	NC_068938.1	175101180	175365660	264479	6
Cx_pallens	Cx_molestus	NC_068938.1	175382245	175557690	175445	8
Cx_pallens	Cx_molestus	NC_068938.1	176953062	177531737	578675	9
Cx_pallens	Cx_molestus	NC_068938.1	180953600	181081425	127825	8
Cx_pallens	Cx_molestus	NC_068938.1	185636958	186315888	678930	4
Cx_pallens	Cx_molestus	NC_068938.1	186338593	186463711	125118	3
Cx_pallens	Cx_molestus	NC_068938.1	192275597	192393700	118103	6
Cx_pallens	Cx_molestus	NC_068938.1	206780897	206985305	204407	3
Cx_pallens	Cx_molestus	NC_068938.1	211473101	211679834	206732	8
Cx_pallens	Cx_molestus	NC_068938.1	214417624	214787771	370147	12
Cx_pallens	Cx_molestus	NC_068939.1	173012	882936	709924	3
Cx_pallens	Cx_molestus	NC_068939.1	26400370	26514899	114529	3
Cx_pallens	Cx_molestus	NC_068939.1	26739549	26940977	201427	15
Cx_pallens	Cx_molestus	NC_068939.1	43614013	44117296	503283	13
Cx_pallens	Cx_molestus	NC_068939.1	44318453	44490755	172301	4
Cx_pallens	Cx_molestus	NC_068939.1	53074195	53348198	274002	3
Cx_pallens	Cx_molestus	NC_068939.1	55513056	55689804	176748	3
Cx_pallens	Cx_molestus	NC_068939.1	56530395	57120594	590198	3
Cx_pallens	Cx_molestus	NC_068939.1	64011183	64194871	183688	4
Cx_pallens	Cx_molestus	NC_068939.1	70300804	70552326	251521	5
Cx_pallens	Cx_molestus	NC_068939.1	70560638	70674716	114078	8
Cx_pallens	Cx_molestus	NC_068939.1	70972949	71236327	263377	8
Cx_pallens	Cx_molestus	NC_068939.1	71340636	71700580	359944	13
Cx_pallens	Cx_molestus	NC_068939.1	71711526	72523914	812388	21
Cx_pallens	Cx_molestus	NC_068939.1	72557117	73097999	540882	8
Cx_pallens	Cx_molestus	NC_068939.1	75330312	75435296	104984	3
Cx_pallens	Cx_molestus	NC_068939.1	82145434	82274480	129045	3
Cx_pallens	Cx_molestus	NC_068939.1	84440090	84806732	366642	3
Cx_pallens	Cx_molestus	NC_068939.1	85391763	85548896	157133	7
Cx_pallens	Cx_molestus	NC_068939.1	89048107	89349730	301623	10
Cx_pallens	Cx_molestus	NC_068939.1	93514823	94003856	489032	3
Cx_pallens	Cx_molestus	NC_068939.1	110854934	111050985	196050	3
Cx_pallens	Cx_molestus	NC_068939.1	111157679	111689610	531931	13
Cx_pallens	Cx_molestus	NC_068939.1	111752668	111967072	214404	11
Cx_pallens	Cx_molestus	NC_068939.1	111969807	112318649	348842	8
Cx_pallens	Cx_molestus	NC_068939.1	112327224	112949160	621935	10
Cx_pallens	Cx_molestus	NC_068939.1	123154744	123490102	335358	3
Cx_pallens	Cx_molestus	NC_068939.1	132240694	132727161	486467	4
Cx_pallens	Cx_molestus	NC_068939.1	139919324	140048181	128857	4
Cx_pallens	Cx_molestus	NC_068939.1	142017487	142264030	246543	3
Cx_pallens	Cx_molestus	NC_068939.1	146095033	146232909	137876	10
Cx_pallens	Cx_molestus	NC_068939.1	146271367	146606944	335577	6
Cx_pallens	Cx_molestus	NC_068939.1	147109784	147744931	635147	4
Cx_pallens	Cx_molestus	NC_068939.1	153359239	153476342	117102	3
Cx_pallens	Cx_molestus	NC_068939.1	164480453	164584415	103962	4
Cx_pallens	Cx_molestus	NC_068939.1	172001552	172252640	251088	3
Cx_pallens	Cx_molestus	NC_068939.1	181826729	182050031	223302	7
Cx_pallens	Cx_molestus	NC_068937.1	168571	622371	453800	3
Cx_pallens	Cx_molestus	NC_068937.1	23254476	23417791	163315	3
Cx_pallens	Cx_molestus	NC_068937.1	45228232	45813347	585115	6
Cx_pallens	Cx_molestus	NC_068937.1	47203772	47328811	125039	3
Cx_pallens	Cx_molestus	NC_068937.1	55738173	56074633	336460	4
Cx_pallens	Cx_molestus	NC_068937.1	56313685	56819079	505394	4
Cx_pallens	Cx_molestus	NC_068937.1	59719994	59955325	235330	3
Cx_pallens	Cx_molestus	NC_068937.1	62365834	63417956	1052121	3
Cx_pallens	Cx_molestus	NC_068937.1	64326864	65057350	730486	4
Cx_pallens	Cx_molestus	NC_068937.1	66621874	66996082	374208	3
Cx_pallens	Cx_molestus	NC_068937.1	67566465	67962468	396003	4
Cx_pallens	Cx_molestus	NC_068937.1	70292614	71917211	1624597	3
Cx_pallens	Cx_molestus	NC_068937.1	72434750	72867668	432918	3
Cx_pallens	Cx_molestus	NC_068937.1	72944594	74247047	1302453	9
Cx_pallens	Cx_molestus	NC_068937.1	74354750	74693378	338628	3
Cx_pallens	Cx_molestus	NC_068937.1	75972244	76274465	302221	4
Cx_pallens	Cx_molestus	NC_068937.1	77833055	78483340	650285	4
Cx_pallens	Cx_molestus	NC_068937.1	80729285	81246990	517705	3
Cx_pallens	Cx_molestus	NC_068937.1	81709953	82175420	465467	4
Cx_pallens	Cx_molestus	NC_068937.1	82441267	82613756	172488	3
