orthogroup	form	is_reference_form	n_ingroup_genes	n_outgroup_genes	genes	gene_ids	same_gene_forms	same_gene_orthogroups	same_gene_compartments	in_reference_elsewhere	status
OG0011616	Cx_pipiens	False	2	1	rna-XM_0018450342,rna-XM_0018450402	gene-LOC6034815,gene-LOC6034821	Cx_molestus,Cx_pallens,Cx_quinquefasciatus	OG0000265,OG0011615,OG0012814	core,shell	True	same_gene_elsewhere
OG0011628	Cx_quinquefasciatus	True	2	1	rna-XM_0382616831,rna-XM_0382649911	gene-LOC119769410,gene-LOC119770324				False	no_counterpart
OG0011639	Cx_quinquefasciatus	True	3	0	rna-XM_0382509951,rna-XM_0382510591,rna-XM_0382626201	gene-LOC119766442,gene-LOC119766486,gene-LOC119769590	Cx_molestus,Cx_pallens,Cx_pipiens	OG0000672,OG0000906,OG0011638	core,shell	False	same_gene_elsewhere
OG0011650	Cx_molestus	False	1	2	rna-XM_0382650181	gene-LOC119770337	Cx_pipiens,Cx_quinquefasciatus	OG0000888,OG0000919	core	True	same_gene_elsewhere
OG0011689	Cx_pipiens	False	1	2	rna-XM_0382608131	gene-LOC6042279	Cx_molestus,Cx_pallens,Cx_quinquefasciatus	OG0000685	core	True	same_gene_elsewhere
OG0011692	Cx_molestus	False	1	2	rna-XM_0018579392	gene-LOC6043255	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0012613	shell	True	same_gene_elsewhere
OG0011695	Cx_pallens	False	2	1	rna-XM_0382539391,rna-XM_0382556001	gene-LOC6041296,gene-LOC6047780	Cx_molestus,Cx_pipiens,Cx_quinquefasciatus	OG0000012,unassigned	core,unassigned	True	same_gene_elsewhere
OG0011850	Cx_molestus	False	1	2	rna-XM_0382663841	gene-LOC119770824	Cx_quinquefasciatus	OG0000249	core	True	same_gene_elsewhere
OG0011913	Cx_molestus	False	1	2	rna-XM_0382535691	gene-LOC6033914	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0000667	core	True	same_gene_elsewhere
OG0012142	Cx_molestus	False	1	2	rna-XM_0018612952	gene-LOC6043704	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0012621	shell	True	same_gene_elsewhere
OG0012159	Cx_molestus	False	1	2	rna-XM_0382615231	gene-LOC6044312	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0001025	core	True	same_gene_elsewhere
OG0012167	Cx_molestus	False	1	2	rna-XM_0382517931	gene-LOC6044602	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0012628	shell	True	same_gene_elsewhere
OG0012249	Cx_molestus	False	1	2	rna-XM_0382579541	gene-LOC6048284	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0000804	core	True	same_gene_elsewhere
OG0012289	Cx_molestus	False	1	2	rna-XM_0382535781	gene-LOC6050285	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0000820	core	True	same_gene_elsewhere
OG0012312	Cx_molestus	False	2	1	rna-XM_0018676472,rna-XM_0382559321	gene-LOC6051206,gene-LOC6051207	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0000311	core	True	same_gene_elsewhere
OG0012424	Cx_pallens	False	1	2	rna-XM_0382606901	gene-LOC119768904	Cx_quinquefasciatus	OG0000084	core	True	same_gene_elsewhere
OG0012463	Cx_pallens	False	1	2	rna-XM_0382563711	gene-LOC6031268	Cx_molestus,Cx_pipiens,Cx_quinquefasciatus	OG0000181	core	True	same_gene_elsewhere
OG0012473	Cx_pallens	False	3	0	rna-XM_0018424352,rna-XM_0382582811,rna-XM_0382612951	gene-LOC6031776,gene-LOC6031777,gene-LOC6050573	Cx_molestus,Cx_pipiens,Cx_quinquefasciatus	OG0000153,OG0008696	core,shell	True	same_gene_elsewhere
OG0012502	Cx_pallens	False	2	1	rna-XM_0382642261,rna-XM_0382642281	gene-LOC6034576,gene-LOC6034580	Cx_molestus,Cx_pipiens,Cx_quinquefasciatus	OG0009082,OG0011926	shell	True	same_gene_elsewhere
OG0012661	Cx_pallens	False	1	2	rna-XM_0018650322	gene-LOC6048097	Cx_molestus,Cx_pipiens,Cx_quinquefasciatus	OG0000753	core	True	same_gene_elsewhere
OG0012737	Cx_pipiens	False	1	2	rna-XM_0382665641	gene-LOC119771144	Cx_molestus,Cx_pallens,Cx_quinquefasciatus	OG0000440	core	True	same_gene_elsewhere
OG0012748	Cx_pipiens	False	1	2	rna-XM_0018465802	gene-LOC6036600	Cx_molestus,Cx_pallens,Cx_quinquefasciatus	OG0011974	shell	True	same_gene_elsewhere
OG0012752	Cx_pipiens	False	1	2	rna-XM_0382615911	gene-LOC6038413	Cx_molestus,Cx_pallens,Cx_quinquefasciatus	OG0000688	core	True	same_gene_elsewhere
OG0012755	Cx_pipiens	False	1	2	rna-XM_0018494102	gene-LOC6039972	Cx_molestus,Cx_pallens,Cx_quinquefasciatus	OG0001026	core	True	same_gene_elsewhere
OG0012764	Cx_pipiens	False	3	0	rna-XM_0018551632,rna-XM_0382545981,rna-XM_0382546011	gene-LOC6043058,gene-LOC6043063,gene-LOC6043064	Cx_molestus,Cx_pallens,Cx_quinquefasciatus	OG0007787,OG0007788,OG0011613	shell	True	same_gene_elsewhere
OG0012767	Cx_pipiens	False	2	1	rna-XM_0018630092,rna-XM_0382495491	gene-LOC6045736,gene-LOC6045737	Cx_molestus,Cx_pallens,Cx_quinquefasciatus	OG0001070	shell	True	same_gene_elsewhere
OG0012779	Cx_quinquefasciatus	True	2	1	rna-XM_0382490371,rna-XM_0382501321	gene-LOC119765340,gene-LOC6033978	Cx_molestus,Cx_pallens,Cx_pipiens	OG0012890,unassigned	shell,unassigned	False	same_gene_elsewhere
OG0012780	Cx_quinquefasciatus	True	2	1	rna-XM_0018465932,rna-XM_0382660731	gene-LOC119770700,gene-LOC6036613	Cx_molestus,Cx_pallens	unassigned	unassigned	False	same_gene_elsewhere
OG0012787	Cx_pipiens	False	2	0	rna-XM_0382614111,rna-XM_0382664691	gene-LOC119769364,gene-LOC119770945	Cx_pallens,Cx_quinquefasciatus	OG0000096,OG0000210,OG0000655	core,shell	True	same_gene_elsewhere
OG0012789	Cx_pipiens	False	2	0	rna-XM_0382509041,rna-XM_0382611431	gene-LOC119766391,gene-LOC119769219	Cx_molestus,Cx_quinquefasciatus	OG0000655,OG0001087,unassigned	shell,unassigned	True	same_gene_elsewhere
OG0012790	Cx_pipiens	False	1	1	rna-XM_0382623481	gene-LOC119769526	Cx_molestus,Cx_pallens,Cx_quinquefasciatus	OG0000096,OG0000655	shell	True	same_gene_elsewhere
OG0012791	Cx_molestus	False	1	1	rna-XM_0382571431	gene-LOC119767753	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0000657,OG0012792	core,shell	True	same_gene_elsewhere
OG0012794	Cx_pipiens	False	1	1	rna-XM_0382510601	gene-LOC119766487	Cx_pallens,Cx_quinquefasciatus	OG0000211,OG0011604	core,shell	True	same_gene_elsewhere
OG0012795	Cx_pallens	False	1	1	rna-XM_0382643151	gene-LOC119770091	Cx_molestus,Cx_pipiens,Cx_quinquefasciatus	OG0000011	core	True	same_gene_elsewhere
OG0012796	Cx_pipiens	False	2	0	rna-XM_0382507201,rna-XM_0382510241	gene-LOC119766275,gene-LOC119766466	Cx_molestus,Cx_quinquefasciatus	OG0001318,OG0012797,unassigned	cloud,shell,unassigned	True	same_gene_elsewhere
OG0012797	Cx_quinquefasciatus	True	2	0	rna-XM_0382510241,rna-XM_0382611391	gene-LOC119766466,gene-LOC119769217	Cx_molestus,Cx_pipiens	OG0001318,OG0012796,unassigned	cloud,shell,unassigned	False	same_gene_elsewhere
OG0012798	Cx_pallens	False	1	1	rna-XM_0382509731	gene-LOC119766431	Cx_molestus,Cx_pipiens,Cx_quinquefasciatus	OG0001318,OG0012799,unassigned	shell,unassigned	True	same_gene_elsewhere
OG0012803	Cx_molestus	False	1	1	rna-XM_0382510051	gene-LOC119766449	Cx_pipiens,Cx_quinquefasciatus	OG0001097,OG0012804	shell	True	same_gene_elsewhere
OG0012805	Cx_pipiens	False	2	0	rna-XM_0382504391,rna-XM_0382614351	gene-LOC119766064,gene-LOC119769379	Cx_molestus,Cx_pallens,Cx_quinquefasciatus	OG0001089,OG0007781,OG0011609	core,shell	True	same_gene_elsewhere
OG0012806	Cx_molestus	False	1	1	rna-XM_0382646251	gene-LOC6050581	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0000029	core	True	same_gene_elsewhere
OG0012808	Cx_molestus	False	1	1	rna-XM_0382510181	gene-LOC119766462	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0000404,OG0011612	core,shell	True	same_gene_elsewhere
OG0012810	Cx_quinquefasciatus	True	1	1	rna-XM_0382502551	gene-LOC119765962	Cx_molestus	OG0000408	shell	False	same_gene_elsewhere
OG0012811	Cx_quinquefasciatus	True	1	1	rna-XM_0382558221	gene-LOC6051785	Cx_molestus	OG0001344	shell	False	same_gene_elsewhere
OG0012815	Cx_molestus	False	1	1	rna-XM_0018450382	gene-LOC6034819	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0000265	core	True	same_gene_elsewhere
OG0012818	Cx_quinquefasciatus	True	1	1	rna-XM_0382530651	gene-LOC119766855	Cx_molestus,Cx_pallens,Cx_pipiens	OG0002198	shell	False	same_gene_elsewhere
OG0012821	Cx_pipiens	False	1	1	rna-XM_0382608871	gene-LOC119769012	Cx_molestus,Cx_pallens,Cx_quinquefasciatus	OG0000120,OG0000664	core,shell	True	same_gene_elsewhere
OG0012822	Cx_quinquefasciatus	True	1	1	rna-XM_0382621651	gene-LOC119769497	Cx_molestus,Cx_pallens,Cx_pipiens	OG0000003	core	False	same_gene_elsewhere
OG0012823	Cx_pipiens	False	1	1	rna-XM_0382500981	gene-LOC119765902	Cx_molestus,Cx_quinquefasciatus	OG0011721	shell	True	same_gene_elsewhere
OG0012825	Cx_quinquefasciatus	True	2	0	rna-XM_0382645911,rna-XM_0382646821	gene-LOC119770172,gene-LOC119770227	Cx_molestus,Cx_pallens,Cx_pipiens	OG0000902,OG0000903	core,shell	False	same_gene_elsewhere
OG0012826	Cx_pallens	False	2	0	rna-XM_0382527581,rna-XM_0382538401	gene-LOC119766817,gene-LOC6040241	Cx_molestus,Cx_pipiens,Cx_quinquefasciatus	OG0007819,OG0012883,unassigned	cloud,shell,unassigned	True	same_gene_elsewhere
OG0012827	Cx_quinquefasciatus	True	1	1	rna-XM_0382485201	gene-LOC6032998	Cx_molestus,Cx_pallens,Cx_pipiens	OG0000219	core	False	same_gene_elsewhere
OG0012828	Cx_quinquefasciatus	True	1	1	rna-XM_0382599671	gene-LOC119768789				False	no_counterpart
OG0012829	Cx_molestus	False	2	0	rna-XM_0382612751,rna-XM_0382613451	gene-LOC119769299,gene-LOC119769332	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0000425,OG0012831	cloud,shell	True	same_gene_elsewhere
OG0012831	Cx_quinquefasciatus	True	2	0	rna-XM_0382612751,rna-XM_0382613451	gene-LOC119769299,gene-LOC119769332	Cx_molestus,Cx_pallens,Cx_pipiens	OG0000425,OG0012829	cloud,shell	False	same_gene_elsewhere
OG0012833	Cx_quinquefasciatus	True	1	1	rna-XM_0018642832	gene-LOC6047234	Cx_molestus,Cx_pallens,Cx_pipiens	OG0012221	shell	False	same_gene_elsewhere
OG0012834	Cx_molestus	False	2	0	rna-XM_0382503561,rna-XM_0382557481	gene-LOC119766023,gene-LOC119767349	Cx_pipiens,Cx_quinquefasciatus	OG0000034,OG0000316	core	True	same_gene_elsewhere
OG0012835	Cx_quinquefasciatus	True	1	1	rna-XM_0382659671	gene-LOC6033048	Cx_molestus,Cx_pipiens	unassigned	unassigned	False	same_gene_elsewhere
OG0012837	Cx_quinquefasciatus	True	1	1	rna-XM_0382508901	gene-LOC119766383	Cx_molestus,Cx_pallens,Cx_pipiens	OG0011741	shell	False	same_gene_elsewhere
OG0012838	Cx_quinquefasciatus	True	2	0	rna-XM_0382505351,rna-XM_0382613491	gene-LOC119766136,gene-LOC119769333	Cx_molestus,Cx_pallens,Cx_pipiens	OG0012839,unassigned	shell,unassigned	False	same_gene_elsewhere
OG0012840	Cx_quinquefasciatus	True	1	1	rna-XM_0382606811	gene-LOC119768897	Cx_molestus,Cx_pallens,Cx_pipiens	OG0008325	shell	False	same_gene_elsewhere
OG0012842	Cx_quinquefasciatus	True	1	1	rna-XM_0382668781	gene-LOC6052492	Cx_molestus,Cx_pallens,Cx_pipiens	OG0012340	shell	False	same_gene_elsewhere
OG0012843	Cx_molestus	False	1	1	rna-XM_0382506621	gene-LOC119766223	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0000058	core	True	same_gene_elsewhere
OG0012846	Cx_pipiens	False	1	1	rna-XM_0382557171	gene-LOC119767332	Cx_molestus,Cx_pallens,Cx_quinquefasciatus	OG0000224,OG0001119	core	True	same_gene_elsewhere
OG0012847	Cx_quinquefasciatus	True	1	1	rna-XM_0382514991	gene-LOC119766600	Cx_molestus,Cx_pallens,Cx_pipiens	OG0000078	core	False	same_gene_elsewhere
OG0012848	Cx_quinquefasciatus	True	1	1	rna-XM_0382587721	gene-LOC6039284	Cx_molestus,Cx_pallens,Cx_pipiens	OG0007850,OG0013718	cloud,shell	False	same_gene_elsewhere
OG0012849	Cx_pipiens	False	1	1	rna-XM_0382516421	gene-LOC6042069	Cx_molestus,Cx_pallens,Cx_quinquefasciatus	OG0000276	core	True	same_gene_elsewhere
OG0012851	Cx_quinquefasciatus	True	1	1	rna-XM_0382510331	gene-LOC6048495	Cx_molestus,Cx_pallens,Cx_pipiens	OG0013554,unassigned	shell,unassigned	False	same_gene_elsewhere
OG0012852	Cx_pipiens	False	1	1	rna-XM_0382658581	gene-LOC6054403	Cx_molestus,Cx_pallens,Cx_quinquefasciatus	OG0000125,OG0013033	cloud,core	True	same_gene_elsewhere
OG0012853	Cx_pipiens	False	1	1	rna-XM_0382523041	gene-LOC6046500	Cx_molestus,Cx_pallens,Cx_quinquefasciatus	OG0000190	core	True	same_gene_elsewhere
OG0012854	Cx_quinquefasciatus	True	1	1	rna-XM_0382653251	gene-LOC6050356				False	no_counterpart
OG0012856	Cx_pallens	False	1	1	rna-XM_0382563631	gene-LOC6044991	Cx_molestus,Cx_pipiens,Cx_quinquefasciatus	OG0007899,unassigned	shell,unassigned	True	same_gene_elsewhere
OG0012857	Cx_quinquefasciatus	True	1	1	rna-XM_0382597481	gene-LOC6042901	Cx_molestus,Cx_pipiens	OG0013153	shell	False	same_gene_elsewhere
OG0012858	Cx_quinquefasciatus	True	1	1	rna-XM_0382589891	gene-LOC6046589	Cx_molestus,Cx_pallens,Cx_pipiens	OG0012206	shell	False	same_gene_elsewhere
OG0012859	Cx_quinquefasciatus	True	1	1	rna-XM_0018667382	gene-LOC6050120	Cx_molestus,Cx_pallens,Cx_pipiens	OG0013574,unassigned	shell,unassigned	False	same_gene_elsewhere
OG0012860	Cx_quinquefasciatus	True	1	1	rna-XM_0382665121	gene-LOC119771116				False	no_counterpart
OG0012861	Cx_pipiens	False	1	1	rna-XM_0382634461	gene-LOC119769799	Cx_molestus,Cx_pallens,Cx_quinquefasciatus	OG0002015	shell	True	same_gene_elsewhere
OG0012862	Cx_pipiens	False	1	1	rna-XM_0382504441	gene-LOC6040067	Cx_molestus,Cx_pallens,Cx_quinquefasciatus	OG0000731	core	True	same_gene_elsewhere
OG0012863	Cx_pallens	False	1	1	rna-XM_0382548551	gene-LOC6049832	Cx_quinquefasciatus	OG0001138	core	True	same_gene_elsewhere
OG0012864	Cx_pipiens	False	1	1	rna-XM_0382612881	gene-LOC6050833	Cx_molestus,Cx_pallens,Cx_quinquefasciatus	OG0000964,unassigned	core,unassigned	True	same_gene_elsewhere
OG0012865	Cx_quinquefasciatus	True	1	1	rna-XM_0382629311	gene-LOC119769653	Cx_molestus,Cx_pallens	OG0001149	shell	False	same_gene_elsewhere
OG0012866	Cx_quinquefasciatus	True	1	1	rna-XM_0018457152	gene-LOC6035618	Cx_molestus,Cx_pallens,Cx_pipiens	OG0011952	shell	False	same_gene_elsewhere
OG0012867	Cx_quinquefasciatus	True	1	1	rna-XM_0382665261	gene-LOC6051582	Cx_molestus,Cx_pallens,Cx_pipiens	OG0012319	shell	False	same_gene_elsewhere
OG0012868	Cx_quinquefasciatus	True	1	1	rna-XM_0382505011	gene-LOC119766108	Cx_molestus,Cx_pallens,Cx_pipiens	OG0007959,unassigned	shell,unassigned	False	same_gene_elsewhere
OG0012869	Cx_quinquefasciatus	True	1	1	rna-XM_0382596701	gene-LOC119768742	Cx_molestus,Cx_pallens,Cx_pipiens	unassigned	unassigned	False	same_gene_elsewhere
OG0012870	Cx_quinquefasciatus	True	1	1	rna-XM_0382492121	gene-LOC6032087	Cx_molestus,Cx_pallens,Cx_pipiens	OG0011885	shell	False	same_gene_elsewhere
OG0012871	Cx_quinquefasciatus	True	1	1	rna-XM_0382599711	gene-LOC6032874	Cx_molestus,Cx_pipiens	unassigned	unassigned	False	same_gene_elsewhere
OG0012872	Cx_pipiens	False	1	1	rna-XM_0382626511	gene-LOC119769594	Cx_quinquefasciatus	OG0002029	shell	True	same_gene_elsewhere
OG0012873	Cx_quinquefasciatus	True	1	1	rna-XM_0382508361	gene-LOC6049103	Cx_pallens,Cx_pipiens	OG0000055,OG0000292	core	False	same_gene_elsewhere
OG0012874	Cx_quinquefasciatus	True	1	1	rna-XM_0382647451	gene-LOC6031009	Cx_molestus,Cx_pallens,Cx_pipiens	OG0011863	shell	False	same_gene_elsewhere
OG0012875	Cx_molestus	False	1	1	rna-XM_0382654711	gene-LOC6041117	Cx_pipiens,Cx_quinquefasciatus	OG0001056,unassigned	core,unassigned	True	same_gene_elsewhere
OG0012876	Cx_quinquefasciatus	True	1	1	rna-XM_0382588601	gene-LOC6041270	Cx_pallens,Cx_pipiens	OG0013481	shell	False	same_gene_elsewhere
OG0012877	Cx_quinquefasciatus	True	1	1	rna-XM_0382573511	gene-LOC6038636	Cx_molestus,Cx_pallens,Cx_pipiens	OG0012020	shell	False	same_gene_elsewhere
OG0012878	Cx_quinquefasciatus	True	2	0	rna-XM_0382508161,rna-XM_0382609531	gene-LOC119766334,gene-LOC119769061	Cx_molestus,Cx_pallens,Cx_pipiens	OG0000042,OG0011687,OG0012879	cloud,core,shell	False	same_gene_elsewhere
OG0012879	Cx_pallens	False	1	1	rna-XM_0382508161	gene-LOC119766334	Cx_molestus,Cx_quinquefasciatus	OG0000042,OG0012878	cloud,core	True	same_gene_elsewhere
OG0012880	Cx_pipiens	False	1	1	rna-XM_0382667951	gene-LOC119771190	Cx_molestus,Cx_pallens,Cx_quinquefasciatus	OG0007833	shell	True	same_gene_elsewhere
OG0012881	Cx_molestus	False	1	1	rna-XM_0382602711	gene-LOC6044686	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0000710	core	True	same_gene_elsewhere
OG0012882	Cx_pipiens	False	1	1	rna-XM_0382653001	gene-LOC119770425	Cx_quinquefasciatus	OG0000100	core	True	same_gene_elsewhere
OG0012883	Cx_quinquefasciatus	True	1	1	rna-XM_0382527581	gene-LOC119766817	Cx_pallens	OG0012826	cloud	False	same_gene_elsewhere
OG0012884	Cx_pallens	False	1	1	rna-XM_0382555901	gene-LOC6054790	Cx_molestus,Cx_pipiens,Cx_quinquefasciatus	OG0000012	core	True	same_gene_elsewhere
OG0012900	Cx_molestus	False	1	1	rna-XM_0382506461	gene-LOC119766211	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0000086	core	True	same_gene_elsewhere
OG0012929	Cx_molestus	False	1	1	rna-XM_0382603951	gene-LOC119768868	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0000874	core	True	same_gene_elsewhere
OG0012934	Cx_molestus	False	1	1	rna-XM_0382610141	gene-LOC119769113	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0012425	shell	True	same_gene_elsewhere
OG0012944	Cx_molestus	False	1	1	rna-XM_0382621841	gene-LOC119769501	Cx_quinquefasciatus	OG0001011	shell	True	same_gene_elsewhere
OG0012959	Cx_molestus	False	1	1	rna-XM_0382649591	gene-LOC119770310	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0000086	core	True	same_gene_elsewhere
OG0012969	Cx_molestus	False	1	1	rna-XM_0382663691	gene-LOC119770822	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0000882	core	True	same_gene_elsewhere
OG0012971	Cx_molestus	False	1	1	rna-XM_0382666261	gene-LOC119771163	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0012451	shell	True	same_gene_elsewhere
OG0012979	Cx_molestus	False	1	1	rna-XM_0382625591	gene-LOC6031053	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0012458	shell	True	same_gene_elsewhere
OG0012981	Cx_molestus	False	1	1	rna-XM_0382526421	gene-LOC6031193	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0012460	shell	True	same_gene_elsewhere
OG0012982	Cx_molestus	False	2	0	rna-XM_0382509291,rna-XM_0382568531	gene-LOC6031216,gene-LOC6053717	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0001118,OG0007848	shell	True	same_gene_elsewhere
OG0012984	Cx_molestus	False	1	1	rna-XM_0382655081	gene-LOC6031306	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0012465	shell	True	same_gene_elsewhere
OG0012987	Cx_molestus	False	1	1	rna-XM_0382560101	gene-LOC6031385	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0011651	shell	True	same_gene_elsewhere
OG0012989	Cx_molestus	False	1	1	rna-XM_0382552121	gene-LOC6031471	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0012468	shell	True	same_gene_elsewhere
OG0012990	Cx_molestus	False	1	1	rna-XM_0018422722	gene-LOC6031539	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0000103	core	True	same_gene_elsewhere
OG0012992	Cx_molestus	False	1	1	rna-XM_0382531641	gene-LOC6031680	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0012470	shell	True	same_gene_elsewhere
OG0012996	Cx_molestus	False	1	1	rna-XM_0382507991	gene-LOC6031986	Cx_pipiens,Cx_quinquefasciatus	OG0013664	shell	True	same_gene_elsewhere
OG0012997	Cx_molestus	False	1	1	rna-XM_0382495121	gene-LOC6032039	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0012475	shell	True	same_gene_elsewhere
OG0013001	Cx_molestus	False	1	1	rna-XM_0382542861	gene-LOC6032150	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0000297	core	True	same_gene_elsewhere
OG0013004	Cx_molestus	False	1	1	rna-XM_0382513591	gene-LOC6032418	Cx_pallens,Cx_quinquefasciatus	OG0013377	shell	True	same_gene_elsewhere
OG0013006	Cx_molestus	False	1	1	rna-XM_0382658401	gene-LOC6032752	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0012480	shell	True	same_gene_elsewhere
OG0013007	Cx_molestus	False	1	1	rna-XM_0382575401	gene-LOC6032942	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0012482	shell	True	same_gene_elsewhere
OG0013008	Cx_molestus	False	1	1	rna-XM_0018434132	gene-LOC6032946	Cx_pipiens,Cx_quinquefasciatus	OG0000391	core	True	same_gene_elsewhere
OG0013010	Cx_molestus	False	1	1	rna-XM_0382659971	gene-LOC6032983	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0000335	core	True	same_gene_elsewhere
OG0013014	Cx_molestus	False	1	1	rna-XM_0018437702	gene-LOC6033359	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0012485	shell	True	same_gene_elsewhere
OG0013016	Cx_molestus	False	1	1	rna-XM_0382561001	gene-LOC6033417	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0012486	shell	True	same_gene_elsewhere
OG0013017	Cx_molestus	False	1	1	rna-XM_0382552811	gene-LOC6033622	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0012488	shell	True	same_gene_elsewhere
OG0013018	Cx_molestus	False	1	1	rna-XM_0382486731	gene-LOC6033722	Cx_pallens,Cx_pipiens,Cx_quinquefasciatus	OG0012489	shell	True	same_gene_elsewhere
OG0013019	Cx_molestus	False	1	1	rna-XM_0382637661	gene-LOC6034054	Cx_pipiens,Cx_quinquefasciatus	OG0013681	shell	True	same_gene_elsewhere
